sentence_id	sentence
HVH_002_000001	新高韩安南地記AEHHO昔唐懿宗辰关有安南地置為郡縣帝思及超陀称帝乃命太史高為安南都護将往帝召入便殿謂日公学地理最精妙朕闻安南多天子之1贵地公当用力厭之一二具言形势庶便觀见聯至安南所過多名山大川書
HVH_002_000002	皆之解作奏書书惟傘圆山最靈厥不得而有奉書开列于左交州都護記本州地入局事章浮生司仰觀俯察未究天机然既叨承天詔敢不竭所見聞譯歌博春未知是否伏望H計一安南地形入局共壹百陸拾叁圖之京北陸拾柒圖内山西
HVH_002_000003	拾五圖山南叁拾蛋圖海陽五拾圖慈廉西湖正一旁二脉止西湖水中圆珠水漲而没水落而浮或隐或现如中穴安其上谷楼星都3此地以井钱三文应穴深下三尺見之用白酉方茶之陳先生守穴粉酒慈雲耕慈廉勝地落在雲
HVH_002_000004	耕正一旁四浚告五岳前布星西湖脱脉模水洪形4左右相刘主客相迎燕来氣世出科名旁有金射恐纪金典旁有水淡恐遣水刑6此地以百异钵二件立穴深於酉方祭之下四天見之陈先生守穴以白44+慈廉西儋正一旁二西信
HVH_002_000005	之地形们铺理形加半月助似珠連山烟内聚水聚前5生女拯贵生男不全只為水反祸福难言下五尺見之陳涉先此地川银手一两立穴深方茶之生守穴以白慈廉开洁关泪名卿形曲最强西湖引脉泾氣藏泼山降氣前水聚堂6搏
HVH_002_000006	龍换骨回虎俯江山来水就女貴男昌中世出科第代生保王若涛花假衬福相当此地以坦并錢八文立穴深下三尺見之陳陟方茶之先生守穴白於酉A。
HVH_002_000007	石室金蘭正一旁二金蘭水湾形乙字樣左右前泼弯環術相尾闭三门氣藏八将世出2恐生遊荡臣名魁黄榜若認不真此地以坦并铁钉一件立穴深下七尺見之守关方祭之穴神食黄糕黄粮石室大同巴中大同的是奇踪正一旁二
HVH_002_000008	聚山聚水重虎重虹穴従伞嶺地出圆8形道花辨色裹重穴居其内世出英雄恐傷童月不全令終童在酒方石室香义正一旁二香艾降世脉從右生前合两水凌起三停雄雌交度老嫩同行左右相对主容相迎文出科第武童五戎2恐
HVH_002_000009	逢反水不全合名言反水在方立穴深下六尺見之此地以石并銀子一两安朗理海正一旁三安朗理海形世最大氣隐脉乙冰山现城眉業生蚌女微形奇穴恢童排甲山虎0恐生態侍宫中男车困外虎水遇宫遇在辰方此地鄭遮先生守
HVH_002_000010	穴祭之以猪并白成方安樂安桃正一旁二安樂安排其形甚佳龍随虎代虎把爸来生迎客就下合上开犀牛望月老蚌合胎旗鼓哭列真11印钢安排身提将印位列武借勿向其殺恐或生灾殺謂戍方也白鹤安正一旁二白鹤安青山奇
HVH_002_000011	水家水主客相顧水尽山穷人貴合流群山回聚童弯環12謂方也財富只防脉尽祀無雨主深下八大见之陳全此地錢十九文立穴先生守穴以鲤鱼开黄粮白软丁方之中白鹤明街正一旁子白鹤明微奇形可称童虎重宜主客相登
HVH_002_000012	堂心精王案面铺袖13間生豪傑安出雲仍水去下七尺見之此地以否并钱五文立穴深白鹤慕周正一旁三白鹤暴周氣脉兼收左回右伏主迎客超群山低伏景水交流世出科第时生巨儒穴高莫厝财散人豪謂五方也'尺見之
HVH_002_000013	此地以北鉢三件立穴深下三4福1.白鹤安仲正一旁二邑中安伸地形包裹限首脉正真菌脉栽可左右两旁角山架如意之行從天而下AS出莫雄代生良佐若認不真恐生多衬謂大星在士方是也見之此地以银子二两立穴深下
HVH_002_000014	四尺七立石春雷正旁二立石春雷山来水回16水清山秀主迎客陪餘息立穴富贵如催大河脉引小河水勿向恶客恐生徒配謂在坤方L+0+安豊如月正一旁元安豊如月形世分别堂心珠含水口山截山長水長竜折虎拆1
HVH_002_000015	7淫水過官得人無别穴在垂餘世生豪傑此地以银子一两并钱五文立穴深下四尺見之范明先生守穴金猪白秋於子方祭之安豊蕉山安豊蕉山秀水章间正一旁三客山対峙主勘圆蟠金星出现水城蘭開18勿向反水仕中退脉息氣
HVH_002_000016	聚世出文官言在辰方。
HVH_002_000017	4安豊直護安典直護形世暴露正一旁二山高水深主迎客顾大水大山雄童雄虎19思宜出科名可文可武来割堂须此為可恶下七尺見之此地以石并錢五文立穴深東岸扶正一旁二扶乾真童從古法下萬水选回分明提锁陶出皇
HVH_002_000018	王陽生良佐20世短水逼速获速祸此地以石立穴深下三尺见之范興造先生守穴食猪并黑秋诊商方除之2'安豊安康正一旁三安豊安康形世最强龍虎蟠結主客相当浚山重豊前案周21穴裁息世出官即湘山下六尺見
HVH_002_000019	之此地以坦并钱七文立穴深東岸仙會正一旁四仙會之脉形似童蟠葫连水蛳堤山水逆山正穴墓山安22虎排武用童列文班不認反水任中退武止一代文必世官在辰方下九尺見之此地以石并錢八文立穴深東岸山巴山地形尖
HVH_002_000020	起三山正一旁四形如鳳曲似珠石骨結穴金星形弯客峯对味水城開蘭23上結一正下聚酒班或上或下業起重若認不寔恐生愚頑横童左然亦出高官深下五尺見之此地以在并银子一两立穴東岸花林正一旁四花林真形得其餘氣
HVH_002_000021	山行水行山止水止94堂心聚窝山形顿起禽形文官歌形武士或安竜腾或藏鳳文中科科武列元師两翼曲池亦至富貴深見之-此地以石立穴深下四尺4東岸河魯正一旁干河鲁真童形如舞鳯左翼抱来右翼拱向阴天山垂阳地
HVH_002_000022	水涨25或安嘴頭或藏頭上穴正形真世出弥相左右曲池亦科榜此地以石并坦立穴深下四尺见之東岸詠橋，正一旁二東岸泳橋地生两條烫逆水左泄顺山右朝後生超伏前客岩26父荣子贵意招邀意頭法是虎榜答標射射
HVH_002_000023	水泄過為官不起見之此地以坦并钱五文立深下四尺0+東岸古默正一旁四古默名卿形世平阳主客登过左右開張顺山未向逆水聚堂27墓逢餘烬悲见郎四水迥遠千金藏正出科甲旁出賢良謂辛脉也下四尺見之此地以
HVH_002_000024	石并银子一两立穴深仙进大為正一旁二眾山圆轉水透仙进大為形曲最奇堂心精五水口展旗童虎重叠主客追随28高山取息此地最宜出科第後前辉右水渗左亦恐生危仙进内裔僊进内裔其地可贵正一旁四左蟠右旋浚昴前
HVH_002_000025	峙脉结水藤山形顿起29生职科甲山麓草佳節灵生聖雖有重名只成一世十四仙逍古芝正一旁五仙进古芝水小溪明堂水聚玄武山虎水印竟應土基30垂出双榜後前輝但嫌勢薄不壽O+1桂锡東榆正一旁桂楊東
HVH_002_000026	榆氣脉妆藏教买列戈元兄弟交喜主客相求31去出名将權掌萬夫红旗高情朱远投只嫌反水恐辱他武江春雷，正一旁三春雷之地形似雲雷乾方山起共地水回主客清秀左32息世出名料右圆堆神童前立鬼倪後催穴墓餘金
HVH_002_000027	金.武江金堆正一旁三金堆真形山道水顺近水聚怀遠山生笋脉出于共水入于限33墓得其餘只防脉尽世出科名官联贵貴近十六武江平林平林脉結圆顧兼妆正一旁二童排方印带員味内城山降外曲水34穴藏中世掌
HVH_002_000028	台符但嫌曲薄位不久留.F武江大武正一旁二福中R大武降脉形曲蟠蛇山有丈韩水有沉浮35虎色意面水浸雀頭竜尘数岸虎带连珠兄弟俱美名位特優近临大小世出北丘贵绝祀勿向他求武江大正一二大捷奇形山藏旺氣
HVH_002_000029	前门廣開校室頓起龍虎雄强气脉兼場36居内認外形吊曲正只忌逼童恐嫌反水若認得真多出良士若認不直常生僭偽先福清水新福清水氣旺脉止正一旁于山八谷平陽地形頓超主客相迎兄弟交喜30山塑急人都且贵先
HVH_002_000030	福菜山新福古業此是名画正一旁三主山垂乳客業頭山支横内水润粘躯38龍虎重豐氣兼妆托山僑寓早擢名魁内有钢殺恐破家0''先福雲换正一旁三先福雲山谷平夷两洞街氣群蜜生支山形普水勘透迤39堂心積
HVH_002_000031	王平向土肥龍虎共投主客追道花心可下草尾可宜或裁两腋或安曲特世出科甲位列政机涧山内反慎广危洽和德勝德勝古形亦為奇異正一旁二山屈曲垂水蒙至聚水合流两砂粥氣40主客相登兄弟交喜或安童頭或裁鳳背地
HVH_002_000032	形甚佳科名阙美莫用冰单不長时貴鲁4金华藥山山吉地形世最强正一旁二氣脉藏聚山谷平阳童虎排列主客用張41穴居其内位近公王顺山來勘逆水聚堂穴安两腋戰当手真郎虎水泄過得失相当金蕉清闻正一旁五清风真
HVH_002_000033	意穴生奇性童生子孩堂开内外勘差歌形山若魚袋42少贵老全功成名遂印安分明上下交泰茶+金华同樂地有吉形美如同樂正一旁二童從水来虎随山托两水前交諸山後落43穴花心危科早擢照勝星晨异列城廊安越内
HVH_002_000034	正一旁三安越内宰四水逸城山界水止水引山行其形顿起其世寬平44载近水中進士各右砂蹲踞左水澄清只嫌世逼官不顕菜F。
HVH_002_000035	先福和山先福和山世寛形寬正一旁三主客登对竜虎弯山勘重宜水城開桶45穴裁除息位尉朝班鳳眼古蘭正一旁三十鳳眼名區古蘭勝地虎水百重竜山千峙山高水深主荣容美三門廣舒九户藏闭46陰中受陽顿中特起世
HVH_002_000036	出陰人大富贵1若認不真恐生詐偽方是也-.+F鳳眼别薊正一旁二鳳眼剿有形有世水進三岐山来千里八将氣藏三门风闭42生年架侵雲視池横水中是栽大起小止中反第名践登斗位外有间山未為全美鳳眼青霭
HVH_002_000037	正一旁三鳳眼青形奇穴惟灵靈平滩聚泳四水洋潮万神拱拜78虎列千岑童萬冰穴茎山餘椎專国外勿向反砂成中而败只嫌氣分家無思愛0右障阴礼正一旁二右彦明礼有形有助虎豊夕山童弯又水阳山垂陰砂童界氣49
HVH_002_000038	業起前宫山生鬼主客相登兄弟交喜勿向反竟恐生詐偽穴葬垂徐大业富贵具安勇廊山古勇即山勘竟形寛山垂乳下業连珠璜重龙重虎叠水叠山50名联国婿位列朝班圆客可展垂可安只防脉脱子豫為谁中0-安世睡山
HVH_002_000039	安造缠山世寬形寛正一旁六进莫出快靈绳下滩前後山峙左右山51堂心積玉水口镇峦或居中腹或居两膊扁頭可下葉尾可安極贵急庆世出高官勿向思客恐衬相干穴藏总腹二十五安世月山安世月山勘形重正一旁三意
HVH_002_000040	辉虎回主题客拱一氣弯環两旁奇年52氣聚山来脉随水送银带形膏形弓水效顿超藏门中门用垂乳可安息餘可望嫌有反砂亦生淫世出高官人生端重月山仙人東不同喜蒙山同喜蒙山形如歌竜蟠虎团主迎客向特世奇形真嶺
HVH_002_000041	叠障53安乳鼻中裁门頭上两腋可佳回脚可尚莫骑背肩财耗人荡文早登科武才名将大地十六嘉林古陽正一旁五脉從天德氣結竜池古陽贵地意真穴奇54工童劳直尽曲直取其曲瘦取其肥下竜曲曲尽直曲取其直修水者
HVH_002_000042	标此為怪穴極貴無疑男有爵土女出宫把水京族桂福祥永安葫蘆交贵+广嘉林古道正一旁二古道真形最為奇異虎水過来奇珠高時继虎微童运山逆水55室兒郎大业富贵平慶高藏長中短是裁得具飾名料多士童水反他
HVH_002_000043	仕中有止二十七嘉林亭輪正一二嘉林亭輪世正穴真山垂大室水聚元辰眾山會面萬水漂身56内安市藏氣外業朝墳有内有外有君有臣後嫌去水杞無人餘中取息世出将軍福+中嘉林古察正一旁二嘉林古条形世甚佳
