HVH_001_0035_000001	占出行道路。
HVH_001_0035_000002	马例内動，外街混至内訟事。
HVH_001_0035_000003	马鲜桔辐烟，外卷伏至外禹，外天吉马舞，内扶马内衡，外拖伏至空，外坑队。
HVH_001_0035_000004	大吉。
HVH_001_0035_000005	马创内衡斗亚孔至内，牛路被病。
HVH_001_0035_000006	马坞内根外衡外孟挑禹内至内出外事限占求财马鲜内員明，外卷状至外禹外，所求有利。
HVH_001_0035_000007	5倒内動外杨至内大函。
HVH_001_0035_000008	5。
HVH_001_0035_000009	坞内割司物批：指空所术，不得临姨震重。
HVH_001_0035_000010	占雞足圖血高准而論。
HVH_001_0035_000011	小神右本命离神佛。
HVH_001_0035_000012	5。
HVH_001_0035_000013	主事中客土冰魂租医民。
HVH_001_0035_000014	坤外祖中天兑石精。
HVH_001_0035_000015	乾金尺皮。
HVH_001_0035_000016	左未财。
