HVH_002_0001_000001	新高韩安南地記AEHHO。
HVH_002_0001_000002	昔唐懿宗辰关，有安南地，置為郡縣。
HVH_002_0001_000003	帝思及超陀称帝，乃命太史高為安南都護。
HVH_002_0001_000004	将往，帝召入便殿，謂"日"公学地理最精妙。
HVH_002_0001_000005	朕闻安南多天子之1贵地，公当用力厭之。
HVH_002_0001_000006	一二具言形势，庶便觀见。
HVH_002_0001_000007	聯至安南所過多名山大川，書皆之，解作奏書书。
HVH_002_0001_000008	惟傘圆山最靈，厥不得而有。
HVH_002_0001_000009	奉書开列于左。
HVH_002_0001_000010	交州都護記本州地入局事章浮生司仰觀俯察，未究天机。
HVH_002_0001_000011	然既叨承天詔，敢不竭所見聞，譯歌博春，未知是否。
HVH_002_0001_000012	伏望H計。
HVH_002_0001_000013	一安南地形入局，共壹百陸拾叁圖之。
HVH_002_0001_000014	京北陸拾柒圖，内山西拾五圖，山南叁拾蛋圖。
HVH_002_0001_000015	海陽五拾圖。
