HVH_002_0014_000001	東岸古正，一旁四。
HVH_002_0014_000002	古默名师形做平阳。
HVH_002_0014_000003	順山未向道，水聚堂主客登过，左右開跟。
HVH_002_0014_000004	9。
HVH_002_0014_000005	子塑逢餘烬，悠絕見郎。
HVH_002_0014_000006	四。
HVH_002_0014_000007	水廻遠，千金包藏。
HVH_002_0014_000008	正出科甲，劳出贤良，謂幸脉也。
HVH_002_0014_000009	下四尺見之。
HVH_002_0014_000010	此地以石并銀子。
HVH_002_0014_000011	一。
HVH_002_0014_000012	雨立穴深中仙造大为正。
HVH_002_0014_000013	一旁二。
HVH_002_0014_000014	仙遊大為形。
HVH_002_0014_000015	四最音蒙。
HVH_002_0014_000016	山轉莉，水透造堂心積王水，口展旗色虎重叠，丰客追随。
HVH_002_0014_000017	28高山取息，此地最宜。
HVH_002_0014_000018	古出科第後膜前辉右，水渗左，亦监生危。
