HVH_003_0022_000001	琼洞云脉形芳北私友竜环兆。
HVH_003_0022_000002	右虎交號，水城微结就脉郊成風屏间限美女献花吃。
HVH_003_0022_000003	安世梅山吉地可观透运虎路，杭杭电粥。
HVH_003_0022_000004	新脉云帐水城阔，棚堂心家传章，面珠居上，腹来可嘉。
HVH_003_0022_000005	世出相文武博家。
HVH_003_0022_000006	隆岸縣四集横竜頭，元倚金除可安大农卿机店。
HVH_003_0022_000007	隆岸梅洞脉似懸的竜赌献爪，虎拜童頭。
HVH_003_0022_000008	两水合派群木到珠上。
HVH_003_0022_000009	云儿阜下结中毯。
HVH_003_0022_000010	林菜云卿山收覆会，右虎竞旋，左竞虎。
HVH_003_0022_000011	顾公在中崩来生可住，屯出公卿前文孩武形写軒昂氣服巧注隆：山弯洋水聚隆岸，海小竞脉雄偉。
HVH_003_0022_000012	水远山湾，山界水止。
HVH_003_0022_000013	嫩鹿哪花满竜饮木上合下乡主明客。
HVH_003_0022_000014	美堂心水谐梭鬼山烤案，现珠耘帐高想梅仪若祖不真然生珠偶乓修二委凤尾吃在花心，来陽可停。
HVH_003_0022_000015	挺生公卿
