HVH_003_0023_000001	後岸梅山芳正形昂。
HVH_003_0023_000002	左虎伏石虎竜锋。
HVH_003_0023_000003	三台化案，萬水聚堂，犀牛望月，老鼠校会海陽平江府唐豪縣三同山吉地，四脉聚堂，意虎重叠，主容辉程。
HVH_003_0023_000004	鬼门刘帐，案，面珠粮宏，居甲级，世大资十三良，女大富，男進田胶豪。
HVH_003_0023_000005	唐鄧会氣脉纯全，众水朝聚，群山烟旋，客星美矣。
HVH_003_0023_000006	主坐虾然穴，徒中乳文甲料。
HVH_003_0023_000007	唐豪黄会，难承形容。
HVH_003_0023_000008	脉隐而结，氣激而钟。
HVH_003_0023_000009	元武尽姚，相代相傳，富贵弄考。
HVH_003_0023_000010	唐安縣五豪可文可武，位公代荣贵，富贵增隆。
HVH_003_0023_000011	山旋叠水聚重亢，墩竞腹挺大英雄A。
HVH_003_0023_000012	唐安同会，山水重来，竜净虎净，主传客街，鬼疆西翼，印見三台中球一九世出三魁，若葵竞腹，发富生财。
HVH_003_0023_000013	亭祖脉软，竞播虎旅城靠，羅列华架鲜。
