HVH_003_0025_000001	级杆河烈真竜脉，形不相牵相连或水或别，山碗魁杯水，江洋结。
HVH_003_0025_000002	竜虎来峰，内外交竭。
HVH_003_0025_000003	印案神式程筑，文民俱優，富贵不绝森秀，旗鼓羅到，尤在花心辰生豪傑文擢料锦江安遇山水聚，竞虎湾弓。
HVH_003_0025_000004	旗鼓交产在锦洲。
HVH_003_0025_000005	烏枫乾坤降星，周分八将，氣合，四美千重雲卿十五，童身長生宰辅，文權科科武程，富貴荣无有。
HVH_003_0025_000006	长舞锦江王東竜熏虎頭浸水竜首生奉老辉，御相権德，兵戎虎水北傷多生风吸月亢，在具中得生氣，挺出英雄位。
HVH_003_0025_000007	查锦雲香水，水聚山環。
HVH_003_0025_000008	竜虎相抱，主容相散，前呼後鹰業净堂宽，花心可下来。
HVH_003_0025_000009	生氣间大尊贵位。
HVH_003_0025_000010	文班安寧，降氣肤隐平夷。
HVH_003_0025_000011	山水相聚，主卷相随。
HVH_003_0025_000012	章虎主容交辉，公在中级，得具文
