HVH_003_0041_000001	公可下安万季贵踞四老交臂壹積速珠案師重膜光司光在中国荣花衣保舞公高进。
HVH_003_0041_000002	東潮煤兴竞龙旋群山时後西水交前季，心氣聚。
HVH_003_0041_000003	案上珠速旗剂市叶印公虎边六贵，武达君王武安文，富貴永昌。
HVH_003_0041_000004	東潮金调形芳雄强頭虎虾，拱手毫翔。
HVH_003_0041_000005	印带羅到，旗鼓銷引大衣中。
HVH_003_0041_000006	世出兴良文预社甲9。
HVH_003_0041_000007	東湖降芳，群山来珠二派引木山将承凤玻。
HVH_003_0041_000008	安陽云地，山超水紫，其形整甫。
HVH_003_0041_000009	其芳宽平，虎腰带印，竜首奉生观池等架案面文星元开荣隆在中腹，吃出公卿福增香。
HVH_003_0041_000010	考萧旺人下東潮，泽芳吉地可栽，群山新氧，四水依秘中玉案玉花闭公在，息心出英术，魁科早长位种文阳安生载雅，老虎弯号朝陽真：後好重形罗端青飘脉冲融。
HVH_003_0041_000011	旗鼓最列印素交爸元
