HVH_003_0042_000001	在中棠，世英破身摆承伤列。
HVH_003_0042_000002	锐竜真氣，陰進涂；，其形魚袋，其脉羊腾。
HVH_003_0042_000003	竞。
HVH_003_0042_000004	安老縣八桌占科甲位迎发王少嫌案反热在他扶虎昨虎颜竜旁，生在鱼腹，辰生文章名公侯多生宰相，富贵尊荣可更可武。
HVH_003_0042_000005	安老新羅氣脉冷注，形芳周旋。
HVH_003_0042_000006	竞虎招颜山顺而主水逆高聚中乳可藏雨住大四十。
HVH_003_0042_000007	安老月盎脉旅劳降星突。
HVH_003_0042_000008	三山图水四象山草尾可安，花心可葵早占科位型水聚朝竜虎拱向素合连魚堂铺贵帐相虎外斜生悲生连荡。
HVH_003_0042_000009	安老仙氣脉透运交潔，屏帳光辉。
HVH_003_0042_000010	山頭拜相案面贼眉竜虎树讓主容相施。
HVH_003_0042_000011	安老封澳积流之水易见，真形难尋究堂葵得北地，女作王妃，男發卿相富贵妇方中横珠案前跟水上乡，山進後线，景中一行公侯有假真。
HVH_003_0042_000012	安老所係
