HVH_003_0044_000001	若池不真，怨累相方。
HVH_003_0044_000002	木堂端礼形水铺瘦水竜屈肉山虎之玄真。
HVH_003_0044_000003	竜堰三级世火魁元千洋，脉隆壽山毫来虎路而伏，竜化而佳。
HVH_003_0044_000004	三门接货，米雀珠速。
HVH_003_0044_000005	弘旗镇水，棋筆凌天脉坐解乳可我代卿精尽福奇美。
HVH_003_0044_000006	西洞云意北形木可竞叶弯环虎城色最乾。
HVH_003_0044_000007	交臂四芳入依堂心氯案面衣阔印司B0。
HVH_003_0044_000008	马山種美駕水缆衣在廷，魚氣来禄。
HVH_003_0044_000009	马世玉公娜登建奖清朗店御筑脉艷冶水聚山环竜虎化瓣眼。
HVH_003_0044_000010	水乡斌眉架筑合叢：花闲杂：脉落圆中乳。
HVH_003_0044_000011	世出英破，位列狮相後全俊料。
HVH_003_0044_000012	水堂竞聚堂烈豪童砂晋虎派重山题鼓真水选弯弓形万端深。
HVH_003_0044_000013	屏帐羅笔居。
HVH_003_0044_000014	水堂花楼砂如犀牛，遇水西汉见葡和技。
HVH_003_0044_000015	山後结帐，案前横珠，群人环屹，眾水登满吃散
