HVH_004_0005_000001	王子尚幼，而世子年長，附鄧氏，恐非父安之策。
HVH_004_0005_000002	既八見王，遂以郡内不安，啟請回朝，王許之。
HVH_004_0005_000003	暉郡自料鄧氏有竈，但生珍寶，賂世子左右，求附於世子，又具黄金百雨。
HVH_004_0005_000004	南京十疋贊礼八謁世子。
HVH_004_0005_000005	世子却其礼而不共之見，又私語於侍者日"此賊5郡自知不為世子容，乃決意附鄧氏，陰主廢立之計，以何不番鎮作反，而迟肯回朝，他日当籍其家，安用彼執？
HVH_004_0005_000006	暉氏亦保護师郡於王前益力。
HVH_004_0005_000007	暉郡遂入政府，開中銳軍营。
HVH_004_0005_000008	公首居亮府，進纳为王子营宅。
HVH_004_0005_000009	自是公然為鄧氏私人，署府事，遥领山南镇守，與鄧氏内外交締，芳倾天下武臣，該鎮守皆出其門。
HVH_004_0005_000010	惟山西镇洪嶺侯阮侃為世子，左講京北北朋党之芳成矣。
HVH_004_0005_000011	镇遵生侯阮克道為世子阿保师郡公之義子，與暉郡南。
HVH_004_0005_000012	再說世子自王子擀生，意甚懑悶，惟恐己不得立，共其家臣小竖世寿番壽儒生潭春樹。
HVH_004_0005_000013	弁流出身永武等日夜謀慮，色衣，頂丁字帽，立於府堂，喜排謂家臣日"吾夢如此，荷諒陰之，未知所出。
HVH_004_0005_000014	會王有宿疾再發，甚於危劇。
HVH_004_0005_000015	世子一日夢见穿葵
