HVH_004_0006_000001	服宫中，不日有变，吾當早為之計。
HVH_004_0006_000002	群小請陰甲兵，潜招士待宫中，一旦不講，閉諸城門。
HVH_004_0006_000003	摩住氏与王子擀使，不得宣言，呼有南征之命。
HVH_004_0006_000004	使人密贷溪忠侯银子一千，西付儒生，立驰西地雨镇，呼兵入衡，习諸大量，以定其位。
HVH_004_0006_000005	世子從之。
HVH_004_0006_000006	春樹分給諸人，陰籍器甲，文陰报函镇官招意美勇，市置已畢，適玉疾再愈，其謀頗泄。
HVH_004_0006_000007	有迎朝阮輝酒者，嘉林人，慣以费南参護导為進朝應官。
HVH_004_0006_000008	太原督同以事聞。
HVH_004_0006_000009	麟急於求用。
HVH_004_0006_000010	使奉人。
HVH_004_0006_000011	夏前年，曾业阮糖基典瑞器公詩通事由族奉人得山長子之婦，入為氏宫，常抵拾世子嬉事，言於氏人，求媚文潜使親信居西北，雨镇官麾下，損探其情。
HVH_004_0006_000012	至是頗知大罗。
HVH_004_0006_000013	八告氏氏，使以其状謀於号，教他為封，自袖入府中，屏人進呈式覺啟大怒，命付下急治。
HVH_004_0006_000014	詠日"世子誠有通，然敢作此大樣，實西北两镇官主之。
HVH_004_0006_000015	今伊両員各摊兵居外，若急治，恐生他变不差。
HVH_004_0006_000016	先召圃朝摩於府中，然後类其状治之。
HVH_004_0006_000017	玉日善。
HVH_004_0006_000018	翌日，召世子八陽以学問希卤责之，命入居擇阁之三间堂，更以丙戍科進士阮晌為左司。
HVH_004_0006_000019	戊成科，
