HVH_004_0008_000001	上自出脆以来，今以賊呼之，聊日官人之言，以為容易。
HVH_004_0008_000002	今事已如此，将奈何？
HVH_004_0008_000003	特任亦惶不知所答。
HVH_004_0008_000004	遵生侯乃脩啓具招前事，再憑春忠通见。
HVH_004_0008_000005	王怒不省，抽出装於遵生候面前。
HVH_004_0008_000006	遒生侯拾之而出，不知所去，惶惧失措。
HVH_004_0008_000007	山西镇官亦益警惧，以其欲有所言，不敢自述，乃共告時任日"我等位重深，有言不信，吾侯当所闻。
HVH_004_0008_000008	脩啟抵罪群小，度觉职等白冤，世子亦保無事。
HVH_004_0008_000009	时任不得已，從之。
HVH_004_0008_000010	不意王得啓益怒，日果若人言不矣。
HVH_004_0008_000011	一假未满，直堂乃時任尚侍业锋朝侯堂忠侯晏忠侯同查吴时任欲徒中救，更以本表去取，再命同参從壬申科進士点成侯黎贵厚代查，尽得其使。
HVH_004_0008_000012	王乃召政臣八内泣日"寡人不幸遇不孝之子，不忠之臣，潜谋叛道，其迹其承乾相頗，而心又甚焉。
HVH_004_0008_000013	長立少事，非獲已鄉等其量我心，當按法論之。
HVH_004_0008_000014	廷買犯諸，並当處，惟王子不敢條上玉特笔批云"按【春秋之義，律，当重弟念天性之親，情有不忍，應照為季子終守臣諸大臣，惟山西镇官共溪忠侯奉侍潜邸，日久有功，特許藏.死。
HVH_004_0008_000015	因之阿保炸强，公以老實不共，亦兑死落賊為民命下溪信。
HVH_004_0008_000016	:-。
