HVH_004_0014_000001	鄧氏日恐不预定，到几急，為人所奪耳。
HVH_004_0014_000002	王日已有暉在，乃顧輝日。
HVH_004_0014_000003	他日善保護正宫，共世子以审我心。
HVH_004_0014_000004	輝日敢不尽心所事，继之以死？
HVH_004_0014_000005	但請及今治命，以世子位冉正宫旭為同咱政，伴有成命。
HVH_004_0014_000006	王日善，卿当輔之。
HVH_004_0014_000007	暉琶日受遺輔政，臣不敢獨任卿。
HVH_004_0014_000008	琶公王室。
HVH_004_0014_000009	懿親院。
HVH_004_0014_000010	郡公師傅。
HVH_004_0014_000011	大臣株公。
HVH_004_0014_000012	泗川侯皆在政府素有德望。
HVH_004_0014_000013	损公东宫阿保。
HVH_004_0014_000014	武忠侯。
HVH_004_0014_000015	东宫保術者為信，请准賜諸员局同受顧余玉許之。
HVH_004_0014_000016	暉苑乃宣，肯，命泗侯草顾命書漆，差汝公填草宣妃制典，書成，暉袖八候肯请漆字。
HVH_004_0014_000017	时玉疾已弥留。
HVH_004_0014_000018	聖母八省。
HVH_004_0014_000019	邵氏抱王起坐，王母立御榻傍，涕泣請安。
HVH_004_0014_000020	王泣下日，小子某拜手普首，啟聖母"小子不幸短，不得終事。
HVH_004_0014_000021	圣母念惟孝道未尽，五内加割，请聖母御驾还宫寝供從容。
HVH_004_0014_000022	母以小子為念，以傷聖恨。
HVH_004_0014_000023	晨昏之奉，已有嗣。
HVH_004_0014_000024	王聖毋歌涕泣久之，意欲以储位為言，而有都氏在谁於啟退回未出。
HVH_004_0014_000025	玉日，聖母重傷，小子，顧復不捨。
HVH_004_0014_000026	小子见母益有傷心，不得旗目，伏祈聖驾还宫。
HVH_004_0014_000027	聖母含滨而出。
HVH_004_0014_000028	玉共都氏訣日。
