HVH_004_0018_000001	善言，保邵氏為所育。
HVH_004_0018_000002	李更不果，乃使出居左穿堂，差内国内湘内仍内轎。
HVH_004_0018_000003	四际官兵温制，每日三奠，許升府堂，陪夫人楊氏祈哀于琶曰"妾家妹宫嬪楊氏某与王秀子拜礼畢，海就显所，日夜危慄，恐不自保。
HVH_004_0018_000004	楊太犯使其好郡某遥放致辞，叩拜。
HVH_004_0018_000005	畏官阁下"季子有罪，放點是耳。
HVH_004_0018_000006	但今地嫌势迫，不腾，危惧离望，長官峦磷，曲為保全再生之德。
HVH_004_0018_000007	刻艾子季子，吾君之子也，朴有何心願天地之夫人学离骨心暉泣答日事先王最承恩遇，美為君性情仆致辟遥達王子与貴媚哀常次且請放仆房，其间保無他危。
HVH_004_0018_000008	自是四际官兵荟监制徒宽家性首人，遂得出入通行，無伺察者。
HVH_004_0018_000009	世子有膳夫武為人有心机，言語明辨。
HVH_004_0018_000010	世子嘗問"外间人情如何？
HVH_004_0018_000011	誉武曰"先王放嫡立少人有差，諸軍沸腾，不肯受賜，驰為音諭，止得勉强。
HVH_004_0018_000012	咱皆憤疾，事情為惠者，新王囊位，照故事，頒賜諸軍銭嘉林增人市有智钱言於世子曰"人情如此，能以義動顺而心不平。
HVH_004_0018_000013	世子中心暗喜於家。
HVH_004_0018_000014	小嘉嘉
