HVH_004_0034_000001	間，望見轎在前行否？
HVH_004_0034_000002	問諸軍，皆日不見。
HVH_004_0034_000003	五大驚，即舍还宫。
HVH_004_0034_000004	夜邯帳中，忽見有一人頭着红中，身披赤服，伏一板桌，技帳張目視王，急問"是誰答日維某，王大警，始知大子之灵也。
HVH_004_0034_000005	都說太子被妆之日，宫人阮氏抱皇孙三人西犇技宿於驛，望之民家。
HVH_004_0034_000006	其人夜爱見一人報去，家预酒掃門庭。
HVH_004_0034_000007	天子及太后乘且至矣。
HVH_004_0034_000008	觉来以為民家豈得有至尊幸。
HVH_004_0034_000009	是日，拱立門外，無一人至者。
HVH_004_0034_000010	向脱見婦人抱三子望門救宿，乃迎之。
HVH_004_0034_000011	八家置之上坐，謂日仆夜夢如此汇与爱寐之間，何足憑無妄言語。
HVH_004_0034_000012	這殺人事非戲。
HVH_004_0034_000013	翌日，乃辞拘于题领獄及諸单扶。
HVH_004_0034_000014	時皇孙年十七歳，諸軍乘快具去。
HVH_004_0034_000015	既而被人踪跡追狭，安置于山西镇。
HVH_004_0034_000016	後復送歸于京師，轎迎于监所，送殿上。
HVH_004_0034_000017	皇际降准鳳眼，截如洪钟。
HVH_004_0034_000018	諸軍見之，咸称真天子也。
HVH_004_0034_000019	王聖母素厚。
HVH_004_0034_000020	太子見皇孫帰，恐大子孙行通运湖，皇孙号泣，朝中為更兵禁住朝夫及随人四失位，使陽召皇孙入侍宫，陰送御河流之，以朝床逼皇。
