HVH_004_0037_000001	善術。
HVH_004_0037_000002	他聞变，提劍出門捍之。
HVH_004_0037_000003	諸軍見客人樣，与有許多客家不见，立破其家，倾刻背為平地。
HVH_004_0037_000004	国師有手下北客人素之傷效，人眾单齐八為肉泥，遂入其营。
HVH_004_0037_000005	國師已改服，徒不敢入。
HVH_004_0037_000006	父之见出入，只這一人遂迫营門客挺劍間路走射場去了。
HVH_004_0037_000007	諸軍即破其营。
HVH_004_0037_000008	玉聞國師有人捍禦，示以為有借，可保，無占，分进一号官兵直来入解，至则國師已.，追县之王使食知番湍忠侯将兵追之，密令慢行，端运至，迎其营。
HVH_004_0037_000009	破荡将尽，諸軍帰，告卫日，國師提兵出外作乱，請橋門外不及而还。
HVH_004_0037_000010	諸軍想湍追不力，又破湍家，湍亦去。
HVH_004_0037_000011	諸軍不見這三员，意甚慎知國旧，共霑武医，王府中乃分人遮截府門而相平。
HVH_004_0037_000012	入府堂，要王悉出這二人。
HVH_004_0037_000013	玉日不見衆軍日"他八府已有人見，知現記時刻，而田猶抵頼耶？
HVH_004_0037_000014	古来豈有停止王者。
HVH_004_0037_000015	王太妃泣諭諸軍日未亡人，幸頼三年，扶立玉上，得至于此。
HVH_004_0037_000016	今只有一弟，願諸单饒其性角，以全骨肉之思。
HVH_004_0037_000017	衆厲散，日饒阿旧性角，這七人死誰饒？
HVH_004_0037_000018	若固匿之，立见宫殿為灰。
HVH_004_0037_000019	這边不和，太妃坐於地下，合+'
