HVH_004_0045_000001	以銀錢使堡破其謀。
HVH_004_0045_000002	堡為人浅露，得玉恩意，旋即誇人。
HVH_004_0045_000003	諸軍知其謀為堡所浅，遂捕望，逃八。
HVH_004_0045_000004	清華。
HVH_004_0045_000005	五以堡多心喜事，因其去，命為順化記。
HVH_004_0045_000006	几坚去。
HVH_004_0045_000007	後，會諸鎮罢兵，諸軍之謀亦沮。
HVH_004_0045_000008	却説阮有医於壬寅年十一月，開帆出海，奔八西山。
HVH_004_0045_000009	這西山属廣南地界，北夹隘。
HVH_004_0045_000010	雲南。
HVH_004_0045_000011	夹同膝，西哀牢，東夹海，提封千里。
HVH_004_0045_000012	阮朝置為西山镇。
HVH_004_0045_000013	西主姓阮各文岳。
HVH_004_0045_000014	阳。
HVH_004_0045_000015	德間，阮主侵乂安，有南河七，俘其民，南寓于西山岳。
HVH_004_0045_000016	家资富厚，以库蒲買睹，轉貧為雲屯延卞，吏人呼為卞音。
HVH_004_0045_000017	既而又员官钱，遂逃。
HVH_004_0045_000018	八山為群盗，有手下百食人冠掠州邑，镇将不能制。
HVH_004_0045_000019	一日，西山王自坐槛中，使其手下输报治。
HVH_004_0045_000020	途日，西山王已驿送镇营納，镇将大喜，開門受之。
HVH_004_0045_000021	西山王镇城中宜破槛而出，奪狱吏卒兵，先教獄吏焚其营，遂殺镇将，而甥其城。
HVH_004_0045_000022	时阮主淳年少，國傅张達為政，国内乖離。
HVH_004_0045_000023	西山叛，命借廷侯為援，以拒阮師。
HVH_004_0045_000024	阮累征不克，势寝强大。
HVH_004_0045_000025	景奥甲午，聖祖乘雾大司徒為平南上将，提'兵按羅河教言八援，阮主纳之，遂逐院主取顺化之地。
HVH_004_0045_000026	西er。
