HVH_004_0057_000001	洋路，宜上京畿。
HVH_004_0057_000002	玉使四侍水號畢，衆禦于翠露口，敵开至南津，舍舟登岸，意翠万口水軍方维舟從岸，星散于河。
HVH_004_0057_000003	清修見敵至，不及登舟开船，尽为敲所换，敲乃衝有公陣。
HVH_004_0057_000004	碩公軍方食，敵兵掩至案甲而走，左右爽乱，研之僵尸填渚，越万春湖，死者不可勝計。
HVH_004_0057_000005	硕公单存手下十餘人，共其子八人，環碩公蒙脚下，倚蒙而禦，六子闘死于蒙前。
HVH_004_0057_000006	硕确公云子与来郡二子棋，有兵乘勝進至西竜津，王親御五竜楼布陣：：分五单左步，公使蒙奴苑蒙而下，共其二子奪路而走，僅以身兑賊水，後楼水年湖岸，仍轎二號，術駕为中軍。
HVH_004_0057_000007	贼登津，從河渚八號，按西虎右步號楼，西竜前號步，按前楼城门，後號步校五在楼上放遇前陣法鼓，前步射前，单射了一齐，賊兵俯身避碑而八五躬御戈服，降楼上，象来红旗，三指三样。
HVH_004_0057_000008	百忙中想见安开彩鼓，諸軍前越，諸軍咱鼓望旗立，不為動。
HVH_004_0057_000009	賊以火虎縱射諸。
HVH_004_0057_000010	此冬是木偶耶？
HVH_004_0057_000011	軍，諸軍胆背妆戈章甲於河岸，走不顧身。
HVH_004_0057_000012	玉见年散韻，前後左右已無一人在者。
HVH_004_0057_000013	賊不知是王，忙爭八府，不复逼。
HVH_004_0057_000014	蒙。
HVH_004_0057_000015	王总脱戎服，顶丁字巾，退坐鞍後，革巢急钩回济通。
