HVH_004_0058_000001	宣武門，賊前兵效十人，已八府門，揭旗於門处。
HVH_004_0058_000002	玉又钩象点従明堂湖，望安華門而走。
HVH_004_0058_000003	上公既八城，下令载諸单，不历，惊畿内。
HVH_004_0058_000004	上公居府，安顿一二近臣，共親軍知压西出，陸續追随。
HVH_004_0058_000005	至城外，猶有象九頭，馬十匹，兵千人。
HVH_004_0058_000006	道慈广村民望見兵包，疑是賊兵扶携而走。
HVH_004_0058_000007	官軍進見，又疑是賊章甲而逃者太半。
HVH_004_0058_000008	至安朗县，有阮暖者，東岸雲恬人，阮賞之子，素為家甘要王於路，跑於道左，云"前受俞招兵，今已得五百人，侯于河之地岸，伏乞御驾北疫，椎率宿于臣贯，以圖後举。
HVH_004_0058_000009	玉大喜，命招舟子横度舟子，四下逃去，得筒小舟三葉，每葉容得三。
HVH_004_0058_000010	四人。
HVH_004_0058_000011	玉总登舟，单有小黄了，被岸，便皆逃散。
HVH_004_0058_000012	玉既登彼岸，全不见兵街問暖。
HVH_004_0058_000013	暖日，兵門五六人共阮暖随行。
HVH_004_0058_000014	官軍象馬在岸上，不得疫。
HVH_004_0058_000015	望丑登街，現在住贯五第，微行前来不遠。
HVH_004_0058_000016	五始悔為暖所誤，且恐此從向前，更未知路間安否如何？
HVH_004_0058_000017	人無可信，惟有进士為足恃。
HVH_004_0058_000018	謂暖日旁近村邑曾有进士，其员各否。
HVH_004_0058_000019	暖日無之，惟有添差知吏番李陈，前奉詔撫前，推駐于下雷社，但未中调。
