HVH_004_0060_000001	变色大怒。
HVH_004_0060_000002	日"王者命在天真正大元帥端南王，是我縱死。
HVH_004_0060_000003	6於國人之手，亦是天命，任尔為之获。
HVH_004_0060_000004	乃使人馳訴于賊，凡追随千人，並拘批之。
HVH_004_0060_000005	璞聞有变，恭来所，叩頭于地。
HVH_004_0060_000006	日誤至此之罪也。
HVH_004_0060_000007	王日"人各有心，鄉何预焉？
HVH_004_0060_000008	告荘日"王是天下之共主，而我則尔之師也。
HVH_004_0060_000009	君師大美，何忍一至此耶？
HVH_004_0060_000010	荘曰"長官还为之辨解耶？
HVH_004_0060_000011	畏師未若畏賊，爱君不若爱身不满，人不早告，誤見玉見於手兵問臣罪。
HVH_004_0060_000012	長官泣呼天日"嗟天乎！
HVH_004_0060_000013	主，天知之乎？
HVH_004_0060_000014	田慰之。
HVH_004_0060_000015	日"鄉之忠，長官所誤也。
HVH_004_0060_000016	乃逼璞帰寓，唱其下摊。
HVH_004_0060_000017	王出京。
HVH_004_0060_000018	璞前来拜王號"誠孤已之，無自惡也。
HVH_004_0060_000019	璞欲税玉少留，王已為兹所迫而去。
HVH_004_0060_000020	到途中，旅馆少歇，王得馆小刀引以自刎，获急奪其不刀浅瘡。
HVH_004_0060_000021	小玉以指串瘡處裂之，又为荘所止，有须。
HVH_004_0060_000022	玉觉心下煩燥，求清冷水許之。
HVH_004_0060_000023	玉引水下而殂。
HVH_004_0060_000024	荘送玉至京，賊大喜，暴王于宣武门外，以示天下。
HVH_004_0060_000025	既又具飲，视一如王者，以小竜平頂典，送玉出恭国公陵，蒸之，而封莊為壮義侯。
HVH_004_0060_000026	加山·4西镇守时丙午年六月二十七日也。
HVH_004_0060_000027	在下雷别五歸寓謂.
