HVH_004_0066_000001	天意非人謀所及，住之私厚於陛下。
HVH_004_0066_000002	即這人兵艘船驅策，至於潦水，哀南风盛长，力所能辨天命。
HVH_004_0066_000003	陛下一统區宇，從今立經陈纪，安内養外，臣亦受其赐矣。
HVH_004_0066_000004	友顧阮整日"此陛下之故臣也。
HVH_004_0066_000005	整超御前拜见，上賜之坐。
HVH_004_0066_000006	上公日"此子受陛下爵禄，想来未甚多，而其忠於陛下之誠，南國無二得至此皆他赞助之力也。
HVH_004_0066_000007	上日"整之能忠，亦会公成之。
HVH_004_0066_000008	整頓首谢日，试如聖諭。
HVH_004_0066_000009	上慰劳义之。
HVH_004_0066_000010	上公日"今聖体少安，應接劳倦，請回車次。
HVH_004_0066_000011	来日以後，请不時来朝。
HVH_004_0066_000012	如有庙問飲，俟聖肯。
HVH_004_0066_000013	上日"寡人有天下而不豫衣拱手，四十餘年，及今老荒，國計，兵謀非所素昼会公既為尊扶，幸留韩效年。
HVH_004_0066_000014	上公日"臣禀玉兄命，只取顺化来此為遂事，不敢久留。
HVH_004_0066_000015	然四方未帖，亦须一番荡平，然後辞去耳。
HVH_004_0066_000016	七茶童高茶赐之。
HVH_004_0066_000017	上公容飲茶而退。
HVH_004_0066_000018	整亦從之。
HVH_004_0066_000019	警坐於朝端，見百官散落，皇上家，無一可備應対皇親惟清源侯黎惟韶。
HVH_004_0066_000020	益山侯黎惟復，亦皆庸常，骨不成朝廷，唯有属黎惟琳。
HVH_004_0066_000021	黎有浩二人。
HVH_004_0066_000022	长安连士，恃穷而不奔，依於殿内，因
