HVH_004_0067_000001	清源侯见皇上，皇上用之，以備文書。
HVH_004_0067_000002	這二人整心亦所不喜，乃思朝臣平日所素者：泗川侯黎潘藩。
HVH_004_0067_000003	建川侯张登。
HVH_004_0067_000004	擦堂侯汪士朗。
HVH_004_0067_000005	練堂侯陈功爆首漆差汝公镇五人，春請皇上勅召。
HVH_004_0067_000006	又浣郡公浣凡六人，皇上皆立，即遣使召之。
HVH_004_0067_000007	黎潘。
HVH_004_0067_000008	潘。
HVH_004_0067_000009	汝公镇等父在家院流登揆。
HVH_004_0067_000010	士朗。
HVH_004_0067_000011	功燥背喜，定青溪避乱，旅於城外，諸员背應召至京，惟公镇以癫疾辞不往。
HVH_004_0067_000012	朗得召，疑有詔責，先以所领兵部印纳车输降，整还其印遣之。
HVH_004_0067_000013	是日，諸员一一越店事。
HVH_004_0067_000014	朝官諸員聞風，陸續而出。
HVH_004_0067_000015	皇上諸员随事其上公應酬。
HVH_004_0067_000016	上公以边遠外来，未請本國習俗，共朝應酬，一咱於整，謂上公日"公來此，以尊扶一統，為各，天下莫不想望。
HVH_004_0067_000017	然所以一統者，须軍國事權，皆咱於專次，方为尊扶之實。
HVH_004_0067_000018	公宜有實之。
HVH_004_0067_000019	昨日萬壽之見，猶為私謁，其事未自於天下，须擇吉日朝見成礼，俾天下共知，方为正大之举。
HVH_004_0067_000020	卡公從之，乃擇七月初七日，请皇上朝於敬天殿，百官以待立上公自平，将士從端門八行五拜，三叩頭，礼其本陈藏鄭之功，并将兵民簿籍仍;``。
