HVH_004_0072_000001	善宫詞，府製為新，極其清逸。
HVH_004_0072_000002	常按三國圖，使宫人被時献奉，御用豊餘帝棋，為無肆情连梨，又多逞音巧技。
HVH_004_0072_000003	我服戈矛，分魏。
HVH_004_0072_000004	蜀三陣，教之。
HVH_004_0072_000005	坐作刺院，年為聖祖所裁。
HVH_004_0072_000006	柳常人念不堪，而帝為喜乐未常。
HVH_004_0072_000007	少祖左右或謙帝福，忿王家必見異圖，故托此自娱以害耳。
HVH_004_0072_000008	义嘗謂宫人日"汝知其一，未知其二。
HVH_004_0072_000009	皇家於王，势在相疑。
HVH_004_0072_000010	胺若以失椎日，发吾之身，必易一統之事。
HVH_004_0072_000011	然非吾前乐。
HVH_004_0072_000012	宫人日，玉家陵逼，如是，玉败星家之幸，陛下何為不果？
HVH_004_0072_000013	山日天。
HVH_004_0072_000014	玉家扶我，玉當其憂，我享其果，失玉爱支在我，我何果焉！
HVH_004_0072_000015	端王立驕兵，每有尊扶一之詩，陰請於帝左右，或請行之。
HVH_004_0072_000016	上日言者眠，送玉按法罪之，遂不敢復言。
HVH_004_0072_000017	至是，上公為尊扶之。
HVH_004_0072_000018	吾只是誠實，以咱天得至于此，匪課通天眠所不為。
HVH_004_0072_000019	接华山外喜而内爱，尼所應酬。
HVH_004_0072_000020	不得已。
HVH_004_0072_000021	及疾駕，謂品添日"吾旦文且舞，重員，憂在尔躬。
HVH_004_0072_000022	尔其念之。
HVH_004_0072_000023	臨崩日，吾真目後，傳乡大事，須一一票，他無平言。
HVH_004_0072_000024	訖，逐崩，皇嗣弥即位。
HVH_004_0072_000025	先是，公主师上公。
HVH_004_0072_000026	上公编間諸皇子之贤否？
HVH_004_0072_000027	公主一一實告。
HVH_004_0072_000028	,
