HVH_004_0077_000001	八謁言"小民見大官经通，有不鹏微物酬表寸。
HVH_004_0077_000002	西母王性誠實，辞無文筋。
HVH_004_0077_000003	日"我非大官，只是南河玉外族慣呼為下岳的諸君厚情，见我遠行，乾素食，以年肯遗，多謝多謝。
HVH_004_0077_000004	又而去。
HVH_004_0077_000005	您見数十人，只暑腰袴赤身立於途，各批竹简杠子，候西山王呼日等歸商，被堂进索買路行，尽掠了财货。
HVH_004_0077_000006	西山王日"他在那裡？
HVH_004_0077_000007	日。
HVH_004_0077_000008	他得财，长迎走。
HVH_004_0077_000009	八山大呼"日"你哉！
HVH_004_0077_000010	我是掌進的徒党磨乃盘刀乱南，兵敗走去。
HVH_004_0077_000011	西山王使兵追之，經八險中发十人各拔出简裡，藏入里，呼為朝子。
HVH_004_0077_000012	及南兵内侵，大安受害，悬於他寓，进尊以誅西山王大馨，原來掌进是又安人。
HVH_004_0077_000013	平生任俠，不事產业。
HVH_004_0077_000014	南兵福事，用機，設計出音無究。
HVH_004_0077_000015	嘗診為横渡舟子船于岸。
HVH_004_0077_000016	候南兵行满，戴掉出中流，破船尾所，大孔求八船覆，南兵尽溺死。
HVH_004_0077_000017	创獨挟掉浮江，夺岸而去。
HVH_004_0077_000018	文聚其徒效百人，詐為远塑礼。
HVH_004_0077_000019	南兵聚兑，縱之酒食，乘其半，醉尽而靳之，或詐称粮担。
HVH_004_0077_000020	夏文至，未及料量，乞假宿屯内屯衔許之。
HVH_004_0077_000021	-·夜起，类其屯而屠之，谷震村邑，聞省。
HVH_004_0077_000022	胶西母王初出术。
