HVH_004_0078_000001	野外張模而卧諸露宿。
HVH_004_0078_000002	及至京，一團鳩面形者知端的，是以中了他計。
HVH_004_0078_000003	自是途次不敢寧宿民家，只就或言上公計诊取一人作五兄，以益其势。
HVH_004_0078_000004	天下豪保典不是王者，容俊天下。
HVH_004_0078_000005	或言西山城益阮家所占，失守而来其情。
HVH_004_0078_000006	西山王至京，上公出部外迎謝其行之罪。
HVH_004_0078_000007	西山摊蒂开域，潜畜兵馬者，各欲究其度實，以圖取之，而莫知王日将在外商，有益於國家，事之可也。
HVH_004_0078_000008	北河可取，而公取之，此乃用兵之神妙。
HVH_004_0078_000009	广公跋涉离里，關土广地，如此美雄手，誠非兄所及第。
HVH_004_0078_000010	伐人之國，懸深入一番槍，百姓為仇。
HVH_004_0078_000011	兄每有意外之虞，故物忙來此，哄公分念耳。
HVH_004_0078_000012	乃变弟為南國帝甥，門产亦基相券，好黄烟。
HVH_004_0078_000013	缘文謂公主日如入城。
HVH_004_0078_000014	上公携其婦公主来福，具以宝财。
HVH_004_0078_000015	西山王日，西山王而退。
HVH_004_0078_000016	上公供具惟帐於正寝，典其兄居之而已。
HVH_004_0078_000017	自退。
HVH_004_0078_000018	居此贵人，真不泰吾弟婦温存間答如家人兄弟父之，乃辞閣。
HVH_004_0078_000019	上公所锁諸年，各际位已一番更模，全是市时符之。
HVH_004_0078_000020	西山王操得兵柄，布置际伍，而其始更模者，陽若不聞。
