HVH_004_0082_000001	h王。
HVH_004_0082_000002	西山王問官戦姓各谷員刘乾。
HVH_004_0082_000003	西山王日"聞安南進士最貴，諸公得非進士耶？
HVH_004_0082_000004	將言于嗣皇，请效员带本國以教國人。
HVH_004_0082_000005	諸公肯将從否？
HVH_004_0082_000006	諸朝臣日等"惟敬國君所東西南北，敢年。
HVH_004_0082_000007	西山王日"諸公初见，突然其來，曾号臣否？
HVH_004_0082_000008	対日"聖上既命臣七公扶立黎皇，此事已明，白，等何敢う！
HVH_004_0082_000009	西山王日"维然与者愚也。
HVH_004_0082_000010	鄭主勒師萬里，兼并顺化，以大害小，以有今日之祸，鉴在遠。
HVH_004_0082_000011	甘若利南国，以小害大，其能久平，縱及之身，能保之，子孙亦不可保甘愚而養此祸胎耶！
HVH_004_0082_000012	臣兄弟不久且去，諸公且輔佐黎皇，以安天下，两國睦，他日好相見。
HVH_004_0082_000013	諸咸称日傳云"聖人不勤遠，聖上惠及此，越出尋常萬倍。
HVH_004_0082_000014	第世國君年少，未堪多事，臣等亦皆庸才。
HVH_004_0082_000015	聖上既為存其國幸，姑留此，俾敬國君，藉其威灵，使四方平定，纪綱再立，御驾凱旋。
HVH_004_0082_000016	未说西山王日帰也，亦期在年月，豈在旬日耶？
HVH_004_0082_000017	諸公勿廣，朝臣拜謝而退，松相設論，或以為他言是真，或以为他Y言是假犬約，只他留尚去。
HVH_004_0082_000018	二事虚夕實了，莫能認得的。
HVH_004_0082_000019	青。
