HVH_004_0091_000001	荷天子策勲厚答，賜以王位。
HVH_004_0091_000002	近代專久生弄，拂于天人，以隆祖宗之業。
HVH_004_0091_000003	今聖天子一统天下，包含覆戴，以天地为心，不思臣家宗礼。
HVH_004_0091_000004	甘泰以鄭氏嫡派避难，流於民家，勝旅宗庙，凤夜转轉，第未奉詔，肯，未敢核便。
HVH_004_0091_000005	八城骨渎宸严，伏候進止。
HVH_004_0091_000006	上見表大悦。
HVH_004_0091_000007	日"吾聞現郡為人，極有礼讓，信然，乃付下廷朝諸員聞琨郡在彰德源，然有興起之谷，潜输，欲乃勤上下，肯召之。
HVH_004_0091_000008	琨郡得者，乃分部士馬刻日而进。
HVH_004_0091_000009	官单士吏往迎之。
HVH_004_0091_000010	展济二人心魄已奪，衆心頗搓，乃自里屈使人奉請，以瑞郡进拜。
HVH_004_0091_000011	上許之。
HVH_004_0091_000012	使者出，上乃使伏兵於迎蟾橋边，候瑞郡共辰清来，扯住問罪，瑞郡卒不敢来。
HVH_004_0091_000013	仲济知事，不清，言於瑞郡，請共展分道以禦琨郡。
HVH_004_0091_000014	清兵禦射場門，展兵禦社坛門。
HVH_004_0091_000015	济兵使阮茂，你领之，密使你迎降。
HVH_004_0091_000016	你至仁睦，遇现郡前兵，使其徒卧戈於地，合手加额，立於道左。
HVH_004_0091_000017	現郡轎至你苑，述仲清意，現郡纳之，使你為前部送锋，行至本试楼，遇辰軍直向射之。
HVH_004_0091_000018	你单坐，限軍越至你軍起，辰軍見你已降，葉戈而走，近至南同寨。
