HVH_004_0096_000001	立国公奉王祀，如情已安，各諸府作贺，或念王家功德，别有奏请，如何？
HVH_004_0096_000002	当以共会。
HVH_004_0096_000003	子西竜宫尚壤會，上奏"伏侯裁定，以副天下之望。
HVH_004_0096_000004	初，國公舍下，眾咸以為教口未息。
HVH_004_0096_000005	至是璉先众為此會以奪頭功，而戒辰济粗劵败事，亦不以卜其輕重。
HVH_004_0096_000006	见璉為此會，不敢從，而心畏之，亦懶從帝敢直以势服朝廷之從帝者。
HVH_004_0096_000007	朝初见璉，只便见其左右文班赴璉会者，有吴仲珪。
HVH_004_0096_000008	阮嘉歷。
HVH_004_0096_000009	阮宗澳。
HVH_004_0096_000010	阮輝招。
HVH_004_0096_000011	阮廷韶。
HVH_004_0096_000012	帝惟火机前命，不肯加减半字，而刷腸獨运，替助無人。
HVH_004_0096_000013	时東岸扶果人之俞，諸官以為如何？
HVH_004_0096_000014	仲珪日"二百年，有帝有王王家功德潘輝益等六七人，衆在会，璉大脯宴畢，謂之日國公未應一败，而帝年少，思慮未周，附和帝意，而為此無理之事者，吾党之通也。
HVH_004_0096_000015	這回整顾，非公不可。
HVH_004_0096_000016	日。
HVH_004_0096_000017	臣會諸公自不來者，自無不叶。
HVH_004_0096_000018	日，諸公既叶可脩奏本爷，上亦正為此，仆欲奏请立之，諸公肯尽叶否？
HVH_004_0096_000019	衆咸日不叶者進。
HVH_004_0096_000020	上维欲不許，亦强请要得成舍，始休。
HVH_004_0096_000021	武班阮嘉琯日，辰济未常無奏，本正自奏请，故卒敗事。
HVH_004_0096_000022	今有文武雲會如
