HVH_004_0106_000001	兵千人。
HVH_004_0106_000002	其旁縣豪目見整起，急圖之，推首镇守瑞忠侯為朝首，為傳首諸邑。
HVH_004_0106_000003	於是真福一畢，咱食旬日，縄首而各起兵以應。
HVH_004_0106_000004	瑞。
HVH_004_0106_000005	整四面受敵，势正发。
HVH_004_0106_000006	却說蜜峯候又安人学，得其邑人傳信，言整易取之，校心言於玉日請為参，先召清年散兵八。
HVH_004_0106_000007	又安召安散兵，与所在豪目瑞忠仍守，而使其子益為督视，加差清华守满，忠集取整頭來奪部公，又使其下作運鼓日，要大可土兵双举。
HVH_004_0106_000008	整王許之，益受面行，謂人日且立者，我人制我鼓，前軍取得整時，销鼓纳整致之，關下益出单进，皆以為功可立。
HVH_004_0106_000009	待整在人安。
HVH_004_0106_000010	初聞王立作翻語日，是家首。
HVH_004_0106_000011	又聞玉使人來征，乃書入富春，言"碩壤再立王情課，復言"請援兵，以您之上。
HVH_004_0106_000012	公得書，使其左事武任提意而出。
HVH_004_0106_000013	整又送書於境，愿述一般情誼。
HVH_004_0106_000014	且言既尚西山相，又安接界顺化，南兵不時來，請留整以當一面，向平後，如整保全，整示早师朝廷建，得書，召整婿造士超武，謂号
