HVH_004_0107_000001	报警，叔無恢兄多矣。
HVH_004_0107_000002	弟吾兄義尽矣，而忠未至也。
HVH_004_0107_000003	今日兄典叔同居先公之门，先公待之如子，兄能為先公，叔扶王，重整基圖。
HVH_004_0107_000004	兄既请留，鎮，人安救，敢不相狗？
HVH_004_0107_000005	但兄不可欺。
HVH_004_0107_000006	叔翻起突来，難然有叔在此。
HVH_004_0107_000007	縱兄来也，叔亦不咱君歸，可致此意。
HVH_004_0107_000008	由是整之事理不以為意。
HVH_004_0107_000009	时日謀收權，或語璉日"今大敵始去，整賊在人安，势寝强大。
HVH_004_0107_000010	及今人心思奋中興之功，立功而大椎自然到手。
HVH_004_0107_000011	何圆請王親禦之。
HVH_004_0107_000012	臧右单驅招遠，火安首界，此亦不下，先迎而置誉寇於度外。
HVH_004_0107_000013	萬一整軍再來，何以禦之？
HVH_004_0107_000014	都說整又使興元监生阮班見帝容春义，安镇守之，密問以整軍情。
HVH_004_0107_000015	班張大教，帝亦喜。
HVH_004_0107_000016	日"此事，右軍曾面請於朕，亦已面許之。
HVH_004_0107_000017	今又再请，当付下行，勅，可留以。
HVH_004_0107_000018	1969角，左右或勤。
HVH_004_0107_000019	帝以整遠而玉近，未知後頭勝员如何若此。
HVH_004_0107_000020	11263，詔勅以整為安镇守，管中雄軍营，加爵鵬郡公，命出而整败，王有辞焉。
HVH_004_0107_000021	帝亦未敢出命。
HVH_004_0107_000022	班忙矯称有
