HVH_005_0005_000001	来蒙，除交趾太守。
HVH_005_0005_000002	初，交州刺史，惯行贪层，民屡起，毅連騷動，变门表请其第三人分领会浦。
HVH_005_0005_000003	九真，南海鲁人夫同地。
HVH_005_0005_000004	值汉季世，中国多故，携春避居交州。
HVH_005_0005_000005	爽父前目为日南大守。
HVH_005_0005_000006	变游学京師，仅神尚书郎父等郡守。
HVH_005_0005_000007	兄弟同辰治，善为集境宁辰，漢家不造，三国分争，遣子贸益吴典，交趾逼近，故0图存绝，每自立思想。
HVH_005_0005_000008	。
HVH_005_0005_000009	守交州，民幸蘇，有古平原吴连称之。
HVH_005_0005_000010	日交州通诗習礼，美樂蔚为引邦，皆自始自連，唱为说人附會，皆曰"汉学自北而南功也。
HVH_005_0005_000011	夷考其富固政治家巧手，子吉微委吾抵抗。
HVH_005_0005_000012	自暑大守岱，至，诱洋门利兄五人，祖肉郊为岱所班，悉送乡断室殿也。
HVH_005_0005_000013	尚論教育界，直，似信得乡影畫。
HVH_005_0005_000014	来关，遣为合浦刺史，又遣陳代为大守，吴士連日诱主作也，不仁也。
HVH_005_0005_000015	子是以形吴和果，而岱郊保也。
HVH_005_0005_000016	其入支那奴界，區域皇民族，其仰支那官界，三鼻，息会多辰，乃迎求史中亮者为大。
HVH_005_0005_000017	嗟哉！
HVH_005_0005_000018	奄又南土揭又举，亦他自主耳。
HVH_005_0005_000019	南國當此，史主，辰代不国，何有？
HVH_005_0005_000020	史有朝臣，東筆低谈，人事，不遇居其因，有造乡恩人者，为子纪念。
HVH_005_0005_000021	人十棋间，有数贤豪懂二人意，你其落又也。
HVH_005_0005_000022	北国人才。
HVH_005_0005_000023	北国史书被支那如桑，境外如他火，则知當日中央政府，其对付领地，市有自不隐。
HVH_005_0005_000024	情且焉。
HVH_005_0005_000025	然强主美特出官界乡私政见全支那国界公也，使人能北属，一千载间，尽议视越人不一化外耳。
HVH_005_0005_000026	以南来诸臣刺史，大守堂皇，吐均撤有神圣不子，侵犯乡特监制而直公行官场，益居市府，关追朝间，服帝点有念，反交世考，而门里下情，上亦古今劫例之在所难逃。
HVH_005_0005_000027	論者谓官每善政，夫過为激语。
HVH_005_0005_000028	试见局吏屡又構民，其政过明，甚不安南。
HVH_005_0005_000029	民本每自動之根，性能善为撫学，则同文同安在，不可無量感情縱有。
HVH_005_0005_000030	第七篇安安南獨立辰代债彼典，造出最转可警う險象。
HVH_005_0005_000031	夫政彼民恶，一证版通之，使叛易恩，为想女民所也。
HVH_005_0005_000032	乃史的载。
HVH_005_0005_000033	自第一百十一年至九百六十八年，交一部祸乱相寻。
HVH_005_0005_000034	自三十九年，C，東漢中興，乱賊悉平，血子無事。
HVH_005_0005_000035	关辰蘇定女，交州大守，政事刻民些同，定有来道起而行支对三。
HVH_005_0005_000036	。
HVH_005_0005_000037	三十九年春，定殺朱縣人，诗其妻徵侧糜冷縣將女也。
HVH_005_0005_000038	妹
