HVH_005_0011_000001	已共多和。
HVH_005_0011_000002	10。
HVH_005_0011_000003	收尽货宝，六十五歲，遗之三皇子重皇诸子三被我庙中寺兄老即位，号天後二年，改瑞育号。
HVH_005_0011_000004	M落林下，千欲单葱蔚出南懷山谱入貢，近已为平原云。
HVH_005_0011_000005	按古州今属北省。
HVH_005_0011_000006	李太祖政名天分府，因故地建造陵寝。
HVH_005_0011_000007	李朝列显國母祠，现在東岸縣亭社奉祀前。
HVH_005_0011_000008	。
HVH_005_0011_000009	既即位，建元顺天都华闵，寻李胜徙大要质，改名昇规，制極壮内族政尚大定税法，及请國通商，修政國天。
HVH_005_0011_000010	。
HVH_005_0011_000011	帝遣便奶宋封，且修歲贡下。
HVH_005_0011_000012	。
HVH_005_0011_000013	真腊称极中外，义安帝勤例，因祥瑞，改元初号天成一千军。
HVH_005_0011_000014	十二年，丈政明道，以其行改良公，故号太祖。
HVH_005_0011_000015	在十九年五十五岁，皇太子佛为来。
HVH_005_0011_000016	皇子三内乱初起。
HVH_005_0011_000017	平。
HVH_005_0011_000018	0。
HVH_005_0011_000019	既即佳，做岸辰世宋修外事天。
HVH_005_0011_000020	但国有内南微乡州秉，而帝讨平地，名为义安刘寺强院，政班了成。
HVH_005_0011_000021	值凶荒，即有弱祖眼官甫承平，改定法律，公设郵政，国民便。
HVH_005_0011_000022	。
HVH_005_0011_000023	復征哀，並除北部事者，朱册封为南千一千十四年，常教失，自征三供其主作斗，並千大象三十医。
HVH_005_0011_000024	寻進被货宝，尽为所前用，無其大脚凯还朝无感武至一千一百七十五年。
HVH_005_0011_000025	。
HVH_005_0011_000026	則索史上最大也。
HVH_005_0011_000027	张此。
HVH_005_0011_000028	1原和一年十年间，就中仁政，国号日大越亲都。
HVH_005_0011_000029	濯武地，均属大祖大寺等辰事年要知于代南国三对。
HVH_005_0011_000030	世支那点殊太烈伐一役，真谓空前绝。
HVH_005_0011_000031	三知部Q安所使。
HVH_005_0011_000032	初手安相床，为新党首领尽敬法募御兵，预多图德，总自强易悉合抽目南阁。
HVH_005_0011_000033	一千。
HVH_005_0011_000034	十年五年十一月，宋闵吏以安南可国来侵，基乐出首相王成以御共代基先为開杖三伏，且禁人。
HVH_005_0011_000035	世。
HVH_005_0011_000036	南人通商，戰端既决，裂，寺特命李常道甘政内地为三，震动省南0三西省九海府朱人接城苑宗国地方，不肯丰，安子候俱南军入域肆。
