HVH_005_0014_000001	李權当国，信肆成液，一千三百十八年，反，信立道等子。
HVH_005_0014_000002	西明守後十年，又迫顺半传位於其子，日精我成腾员，每常至一千四百年，子丧败，乃举環道省及今南生地一季，亦未始，女檐师惯收也。
HVH_005_0014_000003	福第十四事伤王示年自認為卢舞後裔，其先性明，後复父性，借用號政大员，養極侈耀，本表名色也。
HVH_005_0014_000004	削即位，即金牛三，外强巴常，末造主少国色，乃得以精为易性举動一百年，自三为王意世因外根朝陵天。
HVH_005_0014_000005	及後陈起满朝，思避律，後人国作可永溶。
HVH_005_0014_000006	八月，传子漢誉，你太上空事，復親自载夫。
HVH_005_0014_000007	明道数谓祁已终，请册为王后。
HVH_005_0014_000008	明帝支那已五十年，於一千四百三年，封漢君为安肉固玉，後深添平，狂明诉季。
HVH_005_0014_000009	。
HVH_005_0014_000010	漢誉一遵父训，遗便好，僅收践率，批还题奏季整三反状，偕家明乃業兵问景以後，陳後多宣，则郡縣南國也。
HVH_005_0014_000011	明年为季給殺甚深。
HVH_005_0014_000012	添平及明将意中當世運其时於族干沙本大多事和。
HVH_005_0014_000013	一千四百年，主季乗同告頒，西創南司，徙民居方殖地，计通遭海太半藝於魚腹所，而断人叛手，後壓之，以重吾魔一場，僅渔出有号，每中三问劇点，愿南吾再進求抗明。
HVH_005_0014_000014	明方圆批：前役即闪二道，云南侵以張輔法成る。
HVH_005_0014_000015	至河静奇要，海明氧追播美，主帥终效月，诸屯先解，两京过，亦告遺世。
HVH_005_0014_000016	在茶湖，治五年，部一千四百七年，河也。
HVH_005_0014_000017	季程平及其子漢囊斧巡極界，自显南国尽为明河。
HVH_005_0014_000018	晖服张假金访求陳後，一無市者，回奏南民見十四兆二億，肉兆八萬七千五百。
HVH_005_0014_000019	信易山陆流既绝，后願内附气分，周为十七府，十七世一百五十，照详栋民数及器精畜座。
HVH_005_0014_000020	。
HVH_005_0014_000021	送相文来金陵，京及县家春，明帝尽置罪。
HVH_005_0014_000022	a星辰明闵安肉民数，史家有謂雄文子俱能列。
HVH_005_0014_000023	或又谓俱登廣西，充軍员，面，终法定了。
HVH_005_0014_000024	安南，因地遍为明年的母，不谓长安弧强，笑起，一可职。
HVH_005_0014_000025	可悲運動，影推兹子为号，简定南国，政汽特今昔福呂毅等流盛，余安额逼於践列，特士共秀，別三帝香横代主国，器变声震，求授於型贵四四身，但南部知状，一创社有口，后由江未息，张輔立遠，法晟平兴南侵，戰屬捷，协覆二百人，般四百艘，虏额送回金陵，此任天度，三年已五七月，即一千四百九年也。
HVH_005_0014_000026	抗戰達場，殺明将保之，虐待南人，修状，不化極业，特被富兵固宾，常看告，即至良民無章，受商費。
HVH_005_0014_000027	。
HVH_005_0014_000028	常香撞循号，明增兴制至义安界，南人以眾寡不做哥，彼失利，帝，金核尚兴，至海岸尽破明氧储不通，水淳迎藝，生灵，塗炭丰有甚拉世瓜。
HVH_005_0014_000029	魏战为柴，南人病。
HVH_005_0014_000030	有全地印。
HVH_005_0014_000031	柳血每交明人軌衅张銷了气。
