HVH_007_0003_000001	恭缘竜肚福神事寔府治李。
HVH_007_0003_000002	陳並為都城。
HVH_007_0003_000003	黎朝為都城。
HVH_007_0003_000004	奉天府，嘉隆初为北城，依德唐辰为安府，仍改昇竜。
HVH_007_0003_000005	壽昌，即为永壽河。
HVH_007_0003_000006	古河日坊。
HVH_007_0003_000007	黎朝中间，始改今號。
HVH_007_0003_000008	魔朝懿尊皇帝咸通七年，都護高薪增築府洛界城，河拱其東北。
HVH_007_0003_000009	蘇匯由城東迴北具北向，改于西南濃山。
HVH_007_0003_000010	時县中正山演，童睛呼吸，燕山库通氣，高氏地黔称故炎郊英都会有神人魅服，驾凱秉简，上下盘桓良久，而敬骄具俗，以法御源。
HVH_007_0003_000011	一日，骄批城東门，遥望郵河西岸，蘇涯江口，見雪氣嵐氫，中维何俊骄造金眼三符，设坛，悦诵砾之，随，有雷雨。
HVH_007_0003_000012	夏三符之夜，梦神人自称竜肚精地灵長喜君新築城府，故柒相見，粉碎，授出地上骄漠其灵異，仍即所見地立祠祀。
HVH_007_0003_000013	初称意肚。
HVH_007_0003_000014	李朝太祖皇帝顺天元年，自华阁徙都于福-王故址。
HVH_007_0003_000015	大兴城贵竞见于御舟，及其城曰"昇竜，学神再拜，稽肯称賀，形变上日，汝能保百存怠火邪？
HVH_007_0003_000016	对曰"願圣都億系，载灵長佳。
