HVH_007_0006_000001	产E直睿智三字。
HVH_007_0006_000002	永爵三年十一月二九日，为收漫隆，加封垂休衍福）二字。
HVH_007_0006_000003	玄尊穆皇帝。
HVH_007_0006_000004	景治八年回月十八日，为除莫逆，一牵成功，加封顯光明威武三字。
HVH_007_0006_000005	嘉尊美皇帝，陽伤三年七月二十九日为相公。
HVH_007_0006_000006	6。
HVH_007_0006_000007	Y助皇园保安王業，加封雄明漠数三字。
HVH_007_0006_000008	熙尊章皇正和年闰六月二四日，为熟王，嗣位，加封豪傑勇智才明）三字。
HVH_007_0006_000009	裕尊和皇帝。
HVH_007_0006_000010	永盛六年月初十日，嗣王进封王位，加封令声美间後伤）三字。
HVH_007_0006_000011	昏另公。
HVH_007_0006_000012	永慶二年十二月初十日，为皇宗受禅王府，进封，一体加封"雄斯英就。
HVH_007_0006_000013	豁達慈祥。
HVH_007_0006_000014	聪明睿智六字。
HVH_007_0006_000015	顕尊永皇帝景兴元年七月二十四日，为嗣王，进封王位，加封焕赫博毅熙报）三字。
HVH_007_0006_000016	景興二十八年，嗣王進封王位，加封宏献伟神礼三字。
HVH_007_0006_000017	景興四早。
HVH_007_0006_000018	十二年七月十日，帥府靖王令旨"壽昌縣河日坊密泰北上北下三甲，原奉事白驾上A已解，经查宴衣，许为皂书。
HVH_007_0006_000019	远年间絮錢及崛路橋梁送裕结综等最灵祠。
HVH_007_0006_000020	從来歲辰備物修理。
HVH_007_0006_000021	宿直。
HVH_007_0006_000022	发牛。
HVH_007_0006_000023	会盟。
HVH_007_0006_000024	祈祷等礼。
HVH_007_0006_000025	二。
HVH_007_0006_000026	供券場一切户分搜差各役饒兑。
HVH_007_0006_000027	景興四十四年五月十六日，为嗣王，近封王位，加封融新彰威裕泽）三字。
HVH_007_0006_000028	昭统皇帝眼统元年三月二。
HVH_007_0006_000029	蓬案：
