HVH_007_0014_000001	敕肯河內有爵昌縣鼓乐坊上村花方奉子揚成樂俊。
HVH_007_0014_000002	保障顺和柔会光。
HVH_007_0014_000003	白馬佑志止导神。
HVH_007_0014_000004	妙化協灵助顺佐玉题字湾洽靈郎上寺神印经领给教封，準其奉事。
HVH_007_0014_000005	丽德参始壹年玉值膜五日大慶邹短须做哉。
HVH_007_0014_000006	嗣德参捨合年於壹月。
HVH_007_0014_000007	或抗肆日敦拷威禦伤。
HVH_007_0014_000008	保障健顺和荣会先。
HVH_007_0014_000009	白馬佑正上守神。
HVH_007_0014_000010	妙化協宝助顺佑乙题字法洽靈郎上寺神向李護国民稔著灵贈教宙祀肆。
HVH_007_0014_000011	今看丕育衣郎缘须绘鼓豪坊上村依舊奉神真相佑。
HVH_007_0014_000012	保我黎民。
HVH_007_0014_000013	饮式耿命，缅念神麻可加照。
HVH_007_0014_000014	朗保中興上导神仍集许河风省昌颗同慶。
HVH_007_0014_000015	或年柒月初壹日。
