HVH_008_0026_000001	50）强衣贾生前嗟已老黄如化笑能香。
HVH_008_0026_000002	古来物空丙色，谁是花中脱更雪。
HVH_008_0026_000003	花0輕柳絮白，换出花随頃刻。
HVH_008_0026_000004	词借日縱銀世界，因凤飛匝王基芙蓉花。
HVH_008_0026_000005	。
HVH_008_0026_000006	秋到園林，菜葉黄柜霜词最宜）霜微招至，露匀丹臉，轻送金风抱素含贞里，脱节争红门。
HVH_008_0026_000007	紫笑辰鞋倩芬长把瑶花泳。
HVH_008_0026_000008	依首词就诸地道知消長。
HVH_008_0026_000009	我天工巧，剪裁兆協雨间非偶應屡豊。
HVH_008_0026_000010	已卜有年来白菊。
HVH_008_0026_000011	。
HVH_008_0026_000012	津移裁间淡黄，二年又是一重陽。
HVH_008_0026_000013	霜多改风。
HVH_008_0026_000014	座老夜静，偏宜月香鲜荣。
HVH_008_0026_000015	饶占资生地。
HVH_008_0026_000016	看养长留不老，好把松相与。
HVH_008_0026_000017	对年春色，又年千岁樹。
HVH_008_0026_000018	0。
HVH_008_0026_000019	百花闲谢，总份张静。
HVH_008_0026_000020	算多渠发纪千日，焕垂煙枝娜冬青做雪葉冬菊。
HVH_008_0026_000021	。
HVH_008_0026_000022	一穆连年館里裁脱香。
HVH_008_0026_000023	独向雪中调。
HVH_008_0026_000024	莫笑争芳。
HVH_008_0026_000025	太瓶先春，肯讓一枝梅。
HVH_008_0026_000026	51裳鲁弦好業多孤操。
HVH_008_0026_000027	洛社偏秋，借苦报，主人勤長護，凉風秘有繁霜柳。
HVH_008_0026_000028	。
HVH_008_0026_000029	東风临落，雪和晴漠转黄带腰生绿辉嫩楼乳燕青窥老眼，放流莺蘭。
HVH_008_0026_000030	。
HVH_008_0026_000031	休将钻粉闭辰桩。
HVH_008_0026_000032	谁谣出香重周香九春湾仙態度，满庭麝襲客衣。
HVH_008_0026_000033	半天煙雨。
HVH_008_0026_000034	巫娥廟。
HVH_008_0026_000035	萬里旌旗细柳，莫把轻系牽制红。
HVH_008_0026_000036	一番春到一新清槐如圈，去寓调中，手植三槐。
HVH_008_0026_000037	想晋公兔耳夜秉来素月，蝉声夕，引排凉风宿承重。
HVH_008_0026_000038	爱宙有苑，近惹天香侍漢宫。
HVH_008_0026_000039	福庇满。
HVH_008_0026_000040	庭看更好。
HVH_008_0026_000041	为兒孫做大陰功松肯将百飘调。
HVH_008_0026_000042	脑妍傲雪，贞姿独像仙。
HVH_008_0026_000043	吹遥闻则夜月帥幢高，碧雲娱泉，石风独高。
HVH_008_0026_000044	長做雪霜色不熟，用；则行会则散。
HVH_008_0026_000045	谁云大材难用言。
HVH_008_0026_000046	医国当医民，获苓玩珀借药龙。
HVH_008_0026_000047	老来都伴雙鷗楼。
HVH_008_0026_000048	少辰曾记三公自
