HVH_009_0005_000001	蛟毫未雨，维安遇向使，應無贪。
HVH_009_0005_000002	漢館韵界中已素明。
HVH_009_0005_000003	懸魚初起不发生。
HVH_009_0005_000004	振薄威地四方。
HVH_009_0005_000005	题淮诗强刘减楚，壹身当膏坛，不员輪堆椅。
HVH_009_0005_000006	孟早五湖天。
HVH_009_0005_000007	范都都刘三傑张良望國無间鼎立天臨高，刺与山河共。
HVH_009_0005_000008	公主坐屏风诗帯福休将谱漢皇。
HVH_009_0005_000009	彦舜花了彦舜英淡连点黛克愁挡。
HVH_009_0005_000010	憑倚界，愚鸭晴安坐屏風子豈無情依合阴来谐解近问间。
HVH_009_0005_000011	苟合夫妻结好，速意教楽。
HVH_009_0005_000012	翠王受寐，應無反側屏试者，天人壹理中。
HVH_009_0005_000013	日月父毋詩争和日月，两慈同天，不恨輝煌色，生来昭和机莫夹。
HVH_009_0005_000014	君臣譬此理相通哟。
HVH_009_0005_000015	子弘推養育功。
