HVH_009_0015_000001	获荣占资生地，银把松箱相與對。
HVH_009_0015_000002	高壽長流不老，天年春色，天年水面，風先寒暖，烏門三阪水容乙杰花浪诗）波心影燕静怡融。
HVH_009_0015_000003	浪摄飞花放龙红。
HVH_009_0015_000004	最是鳳鱗超脱處。
HVH_009_0015_000005	杨莫状斤騰脉烧尾，难窥变化工。
HVH_009_0015_000006	登滇士子一般伺。
HVH_009_0015_000007	美容花。
HVH_009_0015_000008	秋到园林果葉黄。
HVH_009_0015_000009	推霜間後，宝霜微粘，玉露勺。
HVH_009_0015_000010	册桃賈傳生前差已老，黄纪化後天药香搔道，金风動爆裳。
HVH_009_0015_000011	古来物空的色。
HVH_009_0015_000012	竜眼诗）誰是花中晚实芳。
HVH_009_0015_000013	12密晖烧割香微温。
HVH_009_0015_000014	校树维到海濱調姐物登為朵新珠。
HVH_009_0015_000015	傍捷易為春。
HVH_009_0015_000016	魚目生多應見天.驪殊價倍不為貧。
