HVH_009_0040_000001	享白星朱門，隨處有。
HVH_009_0040_000002	信知天意本無私。
HVH_009_0040_000003	早秋詩）金风夜八禧，相枝羊瑟，清安竟渐稀。
HVH_009_0040_000004	水沙左江风自落，宫中有客，维扇风明仙掌鸠初彩，客外思人寄建衣。
HVH_009_0040_000005	七夕詩）何處青山堪養老，故树菊火依追远長空。
HVH_009_0040_000006	壹秋佳期鹊远填河百盛集。
HVH_009_0040_000007	狐凍乞巧棒火着斗會掌牛闲女情無恨，人去，開中傷运别，火随銀漠央同流。
HVH_009_0040_000008	独倚我。
HVH_009_0040_000009	梅照滴雲物，凄凉教暮天。
HVH_009_0040_000010	秋江脱月詩）轻舟间泛是陽川。
HVH_009_0040_000011	江州烧勝宋山追水低，涵日带雨，猴村满淡煌。
HVH_009_0040_000012	走人免酒，共留连。
HVH_009_0040_000013	夜随明日前溪去。
HVH_009_0040_000014	0）何景夫阳虧载船。
