HVH_009_0041_000001	秋声诗0）呆條秋衣，酒灾但树間嗚浙。
HVH_009_0041_000002	天律臨音暗吐声。
HVH_009_0041_000003	忽禽月下客，舒舒。
HVH_009_0041_000004	初聞发梯慈。
HVH_009_0041_000005	無容。
HVH_009_0041_000006	柠讀冷成政。
HVH_009_0041_000007	子贱悲狗精做被時粒似促我蛋拆不平。
HVH_009_0041_000008	昨夜金風一陣吹。
HVH_009_0041_000009	秋思詩（周定卷买動秋思空边鸠通洋無效，光景迎人年似矢。
HVH_009_0041_000010	天上月明，應有先爸。
HVH_009_0041_000011	晴夏图头成综。
HVH_009_0041_000012	秋典詩）田国自天歸未晚，松菊锅存悬。
HVH_009_0041_000013	故知浙乙。
HVH_009_0041_000014	金风吹奖，泠聲新鸿報秋涼。
HVH_009_0041_000015	杵沔江城天正霜滚去露画衣香。
HVH_009_0041_000016	3。
HVH_009_0041_000017	最爱楼前明月在興業，镜醒还醉，据帘夜音清风。
HVH_009_0041_000018	郑対松闷晚更芳。
HVH_009_0041_000019	新秋詩
