HVH_009_0059_000001	广益智，从容耳逆大夫志靈开安息。
HVH_009_0059_000002	须知君子心制洞天门。
HVH_009_0059_000003	蛇步满梅明竹客，秀钟地骨具。
HVH_009_0059_000004	母生桂子角，孫本儒流道更文章。
HVH_009_0059_000005	去等藥同兵法，功高甲胄三分活，幼加百部功。
HVH_009_0059_000006	機神萬應保九造十全，心會五道，闻君长清会。
HVH_009_0059_000007	但顾世间人無病。
HVH_009_0059_000008	賢明荣術，相生，何须囊石架。
HVH_009_0059_000009	生妻旅馆對王免催人尋宿馆，金鹅唤客整行装。
HVH_009_0059_000010	幽堂時掃高人榻，莫言狼馆云坐趣，自有清风助。
HVH_009_0059_000011	怀古道，長迎長者車。
HVH_009_0059_000012	酒對乾坤到康吾室。
HVH_009_0059_000013	风月，誰家不是都釀成春夏秋冬酒蜴飲效，贡烤易樂，强吞三盛，润旅销。
HVH_009_0059_000014	醉剑东西南北人，招来四凤提壹客：醉钊一村沽酒人。
HVH_009_0059_000015	2。
