HVH_009_0065_000001	朱子家训：父方所贵者，慈也。
HVH_009_0065_000002	子立所贵者，孝也。
HVH_009_0065_000003	君之所贵者仁，土，臣方贵者至。
HVH_009_0065_000004	婦之所贵者员。
HVH_009_0065_000005	土事師长，贵乎礼。
HVH_009_0065_000006	土交朋交所贵忠上。
HVH_009_0065_000007	兄立所贵者，赏也。
HVH_009_0065_000008	第之所贵者，敬之。
HVH_009_0065_000009	夫立所，我之守之。
HVH_009_0065_000010	不肖者，年雅高だ，我之必速立，慎勿於合，贵乎信。
HVH_009_0065_000011	土見老者识文，幼者身爱。
HVH_009_0065_000012	立有德者，年距下枪合容印忍之。
HVH_009_0065_000013	人有大过，川损而责之，勿以善小仰不為，勿切無诗。
HVH_009_0065_000014	己之長优物少美施之怨者，以直招之。
HVH_009_0065_000015	人有小过，仇治家市，每私法，勿損人而利已，勿拍贤而倾能，勿足以惠小印為立人可悉則隐之。
HVH_009_0065_000016	人有善則祸之，戮公瓶私悠儿服横道，勿水理言命見求美，立财不取，遇合美方更可則么。
HVH_009_0065_000017	诗不不可小讀。
HVH_009_0065_000018	形美不可不行，子孙不可不教，绿红茶大积仆不可不恤。
HVH_009_0065_000019	努我之分者，路王可不谨见只红月老天仙前仏日肾，聘己或必先天仙雲楼酒玉宇婴。
HVH_009_0065_000020	明月横下掌上未源立腔基泰维.。
