HVH_010_0002_000001	金运總中寺村阮氏宗譜序氏姓之書，所從来遠矣，以定其世系，辨昭穆百鉅也。
HVH_010_0002_000002	我餘年矣，上祖並識其先之名行，所謂阮之先，未有改。
HVH_010_0002_000003	其在壽昌之東，作则四鎮國上將軍。
HVH_010_0002_000004	清閒公，顯有封爵以来家之史者。
HVH_010_0002_000005	家之為家典最参政公大王尊公拓故基茂远蔭十餘世，代有衣冠，而未甚颜丁又甚稀。
HVH_010_0002_000006	中間甲支。
HVH_010_0002_000007	22。
HVH_010_0002_000008	侍郎公。
HVH_010_0002_000009	曹郡公克華，其继近代諸先公，又低通之世必有請。
HVH_010_0002_000010	今不可得，而见意遭西山之諸名家之譜記，又徵之上國蘇氏之族譜引，或於亂而失之，欺理年冠，念及此，切耿耿焉。
HVH_010_0002_000011	因搜贤本國關里文献，考與國家侯之支譜與F宗譜。
HVH_010_0002_000012	其於作法界得其繹幾二十餘年，裒以成輯目。
HVH_010_0002_000013	大王尊公國音事引，盖猶有可返，求之同七世祖，侍郎高派高祖以上，世次科宦。
HVH_010_0002_000014	险3文V可改镜其有可紀，又各為之傳，使後之人有所方镜，譜法不必全泥古八。
HVH_010_0002_000015	高祖以下，則取所得於见聞者間有名行，代起一。
HVH_010_0002_000016	二。
HVH_010_0002_000017	三。
HVH_010_0002_000018	四顺数，以至十百千億，做關里孜也。
HVH_010_0002_000019	於每之，其所以紹世德，保門風，将與天地垂於周。
HVH_010_0002_000020	是請序支請者，在於以尊祖收族，於無竊傳，不云乎吾祖也。
HVH_010_0002_000021	我知
