HVH_010_0016_000001	字廣德，五月初八日忌，三月二十一日忌。
HVH_010_0016_000002	生男二米媚。
HVH_010_0016_000003	福祺公房公福祺公長子諦，字福全，壬辰年生。
HVH_010_0016_000004	姿貌豊偉，天性友直。
HVH_010_0016_000005	16。
HVH_010_0016_000006	三舟私田，坐癸向丁忌塑慈康縣羅内社厨陰処N，配吳氏，號慈恩，六月二十日忌。
HVH_010_0016_000007	藥金萃瑪煙尺。
HVH_010_0016_000008	金萃坊人。
HVH_010_0016_000009	有賢行，家甚寒薄，市井輕薄爽焉，所不忍爲。
HVH_010_0016_000010	篤生大王公感應之理，断子毫髮之不。
HVH_010_0016_000011	其子熙公登科，官至参政，封爵，壽九十。
HVH_010_0016_000012	孫類庵理按古語：福德在母，不誣吾族美節。
HVH_010_0016_000013	金氏夫人艱貞公登黄甲，官侍郎侯爵。
HVH_010_0016_000014	吾慈思吴氏夫人贤行篤生大王公孫曹郡公，衣冠累世，母氏之德最開如此。
HVH_010_0016_000015	范必有目日，祖宗姚亦在其中矣。
HVH_010_0016_000016	文正日，吾祖宗積德，百年，乃發於吾，大約言人之興也。
