HVH_010_0032_000001	七代参政公房女廉，號淑善，生子：男儒質。
HVH_010_0032_000002	女景嫁本坊縣丞廊姓名，有女謹，號慈道，生男二嫁金萃，生徒杨姓名，登科。
HVH_010_0032_000003	32男第，賜丁丑科弟二甲进士特进，金紫荣禄大夫。
HVH_010_0032_000004	刑部謚雅達甫珍，小字传以黎朝景治六年戊申十一月初一日，尊令人仙去，失恃廢業。
HVH_010_0032_000005	十四歲，從大人往任大安日事，兒中痘毒，右眼失明，年九歲，始入学。
HVH_010_0032_000006	十一歲，稍能文。
HVH_010_0032_000007	十三歲，應縣考四場，名在弟四至八，试中府生。
HVH_010_0032_000008	十九岁，結娶戲。
HVH_010_0032_000009	十六岁，始愿留家，從学于唐安憲範監生阮公之门。
HVH_010_0032_000010	然前無警策，作報任情，业終不進。
HVH_010_0032_000011	十七岁甲子年，以进士力批之，從後学于辛未甲第。
HVH_010_0032_000012	葵陵阮尊師一岁，先從学于克念上。
HVH_010_0032_000013	阮尊師得四五日时行文先生慎人，成其家室。
HVH_010_0032_000014	此後雖挟策從師，或不满一旬，或不周，得宋仁宗一纪，未幾又卷而懷之，业幾荒矣。
HVH_010_0032_000015	二十歲應试，又落。
HVH_010_0032_000016	二十歲，闻天禄何尊師始中戊辰科。
