HVH_010_0040_000001	代侍郎類庵公房五男三女，男#男。
HVH_010_0040_000002	皖男同男。
HVH_010_0040_000003	吐，父姓陳，京北人，始歸母贯政，阮姓大王，公之外孫也。
HVH_010_0040_000004	生子八4。
HVH_010_0040_000005	O男。
HVH_010_0040_000006	杆女。
HVH_010_0040_000007	當女。
HVH_010_0040_000008	容女氏。
HVH_010_0040_000009	颖氏。
HVH_010_0040_000010	瞻氏，二十九日忌。
HVH_010_0040_000011	生三女：郁男。
HVH_010_0040_000012	稳女。
HVH_010_0040_000013	题女染，壽四十七歲，乃右侍郎縞郡公之次男也。
HVH_010_0040_000014	生子男三：女二男盎男二月二十四日忌。
HVH_010_0040_000015	憲副公傳庭登鄉薦，官北河知府。
HVH_010_0040_000016	精於醫。
HVH_010_0040_000017	適鄭靖王痔病，醫院，以仪醫舉和，試，用数湯有效，蒙賞授京北憲察副使。
HVH_010_0040_000018	以其地近塑定功社下村，易於准召故也。
HVH_010_0040_000019	公毒八十二十二月十九日忌。
