HVH_010_0048_000001	鷄酒之，奉交裴族記認，以垂諸久遠。
HVH_010_0048_000002	云田二高，值三十貫，留爲肅齋公。
HVH_010_0048_000003	慈愛庶夫人，歲時奉在祠堂。
HVH_010_0048_000004	紹治元年，理窃有薄禄，因置其鄉，盛烈之，则不可知。
HVH_010_0048_000005	辰移事，改床室。
HVH_010_0048_000006	阮氏，號慈質，孺人，諱名慈意，縣東牢社人。
HVH_010_0048_000007	黎永佑二十八日总垄芳烈社分，生一男，有洞，年丙辰，十二月二十六日生。
HVH_010_0048_000008	樓厚，壽H8轎，後軍侯爵。
HVH_010_0048_000009	阮公字允澤，正月初六日忌，塑金蓮坊分姚正室阮氏，号慈專，十月初九日忌，塑芳烈船府處。
HVH_010_0048_000010	按府八十四卒於阮朝。
HVH_010_0048_000011	明命二年五月二十日午時，座考奉官處有古黔在岩頭，孫理奉改厝于此處。
HVH_010_0048_000012	木星按：允泽尊公乃東牢大王阮公朝之侄。
HVH_010_0048_000013	公朝公天室有望，是為侍讀公。
HVH_010_0048_000014	慈質尊孺人，生子男一女一女氏適鄭姓造士，男諱廉室。
HVH_010_0048_000015	黄氏，諱亭，東牢人，生一男，有永男茅九諦，有福弘信大夫，誥授馳威將軍。
HVH_010_0048_000016	嚴一隊正，生男补男。
HVH_010_0048_000017	彭隊長劍總知福武伯，字福敏。
