HVH_010_0057_000001	配鄭氏，號英勤。
HVH_010_0057_000002	謚端容，顺人，考王親寺郡公當立廢女，惟顺人特給田一百畝養瞻。
HVH_010_0057_000003	以故家資豊裕，但顺人奢华無度，後亦渐耗。
HVH_010_0057_000004	癸丑年七月二十八日（申刻，生巳已，年十一月三十日卒，茎本村地分，生男充盎。
HVH_010_0057_000005	舜润三慎禄椎女田。
HVH_010_0057_000006	57。
HVH_010_0057_000007	女正嫁右鸾，該官鄭姓，生一男，名鄭億，女清女氏許嫁超右。
HVH_010_0057_000008	該官生男二女，一男惟横中升，生男惟堅雄。
HVH_010_0057_000009	一公房。
HVH_010_0057_000010	配男阮氏，七月二十九日忌，授果敢将軍匡左正队長。
HVH_010_0057_000011	付術尉。
HVH_010_0057_000012	真武伯慈，庶東牢人，寡，嗣以妻侄俾為義子之子，孫以美起。
HVH_010_0057_000013	今女俄女圈奉祀，公即公之故宅，與東作族，奉守忌户。
HVH_010_0057_000014	女壬女就。
