HVH_010_0063_000001	封正五品宜人，有敕见碑。
HVH_010_0063_000002	明命二十一年（庚子，以子养官郎中，逢國大慶，推恩誥慈，广義路人。
HVH_010_0063_000003	癸卯年生，生子六：男，女二：女满。
HVH_010_0063_000004	男。
HVH_010_0063_000005	2。
HVH_010_0063_000006	官員孫馬左公传G。
HVH_010_0063_000007	3，勇敢黎乱，嘗與諸故臣謀唱，義人或訴之，拿究無狀，免公。
HVH_010_0063_000008	忠壽伯公第三男永，字威，癸未年生，性慷有誠，始終無間然矣。
HVH_010_0063_000009	猶子重之顺化訪得之。
HVH_010_0063_000010	其後壻兄参督玄成侯贖還，有所因也。
HVH_010_0063_000011	不然，重为乂安人，不為東作人於禍，海内豪傑無不重其名，事雖不濟，而區區故國之嫡子輩輦收養，以及長成公填在本村矣。
HVH_010_0063_000012	年五十一二月初一日病卒，其兄吾侍读公為之葬焉。
HVH_010_0063_000013	男長。
HVH_010_0063_000014	。
HVH_010_0063_000015	福武伯公房官員孫。
HVH_010_0063_000016	福武伯公之長子，妾生女简，生男二桢霑。
HVH_010_0063_000017	女和。
HVH_010_0063_000018	官员源，福武伯公之弟。
HVH_010_0063_000019	二男，武藝最善，试中开，生忠。
HVH_010_0063_000020	右男A。
