HVH_010_0070_000001	女纹，女二氏靚氏。
HVH_010_0070_000002	女四，好床婉媚，辛卯年生，嫁功臣孫鄧姓，生男二，言益。
HVH_010_0070_000003	70。
HVH_010_0070_000004	冕武伯公房公有文才，知地理，知醫，又知符水所营塑其親地局。
HVH_010_0070_000005	男卒，女三。
HVH_010_0070_000006	按：春宛後之嘉平葩陽社，娶社人阮氏，生男一。
HVH_010_0070_000007	如此，授馆於恩施縣共武社，娶婦是社人生子。
HVH_010_0070_000008	男潘早留下之田。
HVH_010_0070_000009	一。
HVH_010_0070_000010	耕治為生锦妻亦共武社人，名锦。
HVH_010_0070_000011	女一氏占錦，年二十一回，居共武社，守墳纂嫡母男。
HVH_010_0070_000012	男正室威弩人，生一男垂武伯公房性樸野，無所出。
HVH_010_0070_000013	男甲寅年生。
HVH_010_0070_000014	少學贫，不能卒業。
HVH_010_0070_000015	配裘氏諦好青池）.。
