HVH_010_0072_000001	養及長，為之謀室，又令就学。
HVH_010_0072_000002	後叔父馬左隊公因八富春城過訪得之。
HVH_010_0072_000003	後参督婿兄，以財贖還東作，故卿有所會，當有傳以記之。
HVH_010_0072_000004	女鸞為建安王府嬪，見寵生一女因也。
HVH_010_0072_000005	公平日嘗言"吾生家子，而身世飘萍梗如此。
HVH_010_0072_000006	郡君玉並公入候親王，即以該合勅與之爵。
HVH_010_0072_000007	林德子。
HVH_010_0072_000008	其帥女線公壽五十八。
HVH_010_0072_000009	十月初六日忌。
HVH_010_0072_000010	2。
HVH_010_0072_000011	芳烈，品價亦為一卿冠冕云。
HVH_010_0072_000012	公配廊氏，諱信，本村人，有静淑，行六月初九日忌。
HVH_010_0072_000013	生子男三：女三，女高女筍男。
HVH_010_0072_000014	赏男措男。
HVH_010_0072_000015	72。
HVH_010_0072_000016	侍讀公房女金謚。
HVH_010_0072_000017	肅憲夫人盛眾吉，今本村里長有年對亦繁籍。
HVH_010_0072_000018	侍讀公長女，辛丑年生，有容工，在家能代宜人之劳。
HVH_010_0072_000019	出嫁後，又能管顧諸弟妹家室事，亦婦人中之賢明者也。
HVH_010_0072_000020	嫁泰後，蔭郡菊軒公傳官員子。
HVH_010_0072_000021	皇朝員子，字元甫，號菊軒居士。
HVH_010_0072_000022	謚統雅公侍讀公長男諦枕，字元南。
HVH_010_0072_000023	景典癸卯年八月十三日寅牌生。
HVH_010_0072_000024	少事舉業，學有進。
HVH_010_0072_000025	孟從平章蘇派侯院公$宿于山西之洮沱間，文卷為所批云"試看翰墨三分進，遂投筆事農圃，稍知医。
HVH_010_0072_000026	尤皓好地理，性刚介磊落，儿事應答。
HVH_010_0072_000027	命娘九字。
HVH_010_0072_000028	國朝嘉隆丁卯初，開鄉試，應試見屈，不必留心。
HVH_010_0072_000029	自號菊軒老皮。
HVH_010_0072_000030	鄉族達尊以壽經蒙國恩優孫三人成行，年七十八，當皇朝嗣德之十三年。
HVH_010_0072_000031	庚申五月，老布帛及米者两火矢。
HVH_010_0072_000032	六十之年，有子夏喪明之痛。
HVH_010_0072_000033	男
