HVH_010_0074_000001	志庵自傳：甫養名文理，字循甫，號志亭，别号東溪。
HVH_010_0074_000002	生于西朝永盛之乙卯年，六十年，識見坦率，不狗流俗。
HVH_010_0074_000003	典人好行方便，事学僅三四紙，而能強記文章，有奇氣。
HVH_010_0074_000004	自其少時，慨然以士夫家自期。
HVH_010_0074_000005	幼時，先君子命其兄長菊軒為之開心二行。
HVH_010_0074_000006	兄煥甫教訓之。
HVH_010_0074_000007	嘗謂弟爾目有神，且好学，他日成立，未有量先君，使之專其業于4。
HVH_010_0074_000008	諱灵，黎朝鄉貢，訓鄙事，一切不與焉。
HVH_010_0074_000009	甫志亭于其事無他好。
HVH_010_0074_000010	年十四，往受业学，曾请業焉。
HVH_010_0074_000011	文稍進，年二十三。
HVH_010_0074_000012	丁丑，尊宜人遭血病傷士，諱瑜，進見河内督，伺候動静。
HVH_010_0074_000013	年二十四。
HVH_010_0074_000014	戊寅，尊慈病篤，二月爵終，葬後三心報学侍疾，延寄医調治，夜與弟芳溪設小床其側，壽終。
HVH_010_0074_000015	十一月，日襄事，後哭如之逝水。
HVH_010_0074_000016	同年，家庭重有變，月内率其弟日往哭于墓焉。
HVH_010_0074_000017	是年六月，先君子偶病單熱，蒙肆業。
HVH_010_0074_000018	年二十八，結娶元配安人阮氏如乃外家金縷，故先业所遗薄田数四畝，轉賣殆尽，以供喪费。
HVH_010_0074_000019	随往訓南策知府崇德子阮公弟二女，長妤贞憲郡君为之成焉。
HVH_010_0074_000020	公不論财假之馆，贫甚穆之榔之事，或不免焉。
HVH_010_0074_000021	甫往讀書，無意怀與安也。
HVH_010_0074_000022	是年五月，祖母慈寔孺人壽終。
HVH_010_0074_000023	十月，應良堂進富市立齋先生山斗儒尊少許可。
HVH_010_0074_000024	一日謂爾文有才思，日就純燕進。
HVH_010_0074_000025	取科第不難，請業師也。
HVH_010_0074_000026	獨立先生恩為知已，文以理。
