HVH_010_0080_000001	兵犯谷，得回貫，為求生道，死罪生活者十人，荒田報懇，緩祝至三萬，給民以為德。
HVH_010_0080_000002	率耆老将金一百两來謝，不受日，吾以留澤吾民。
HVH_010_0080_000003	明鄉周發事，屈得伸亦以百两金來邦之清船失事，為本船水手擢去白金二，每五笏苦斗，用心摘還，以濟難商之急者，其心存濟物，類此甲痕。
HVH_010_0080_000004	五月，轄商控赃誣控同事陳布政之外婦設計陷害，究係。
HVH_010_0080_000005	80，白金三十两，出於轄商妻兄之手，派員故意倾陷之辣察。
HVH_010_0080_000006	武公知之，護之，益力覆献，果然販不入手。
HVH_010_0080_000007	又遇庸吏成案。
HVH_010_0080_000008	是年八月，造状訟其屈心，契内閣直學士范公。
HVH_010_0080_000009	武啓接陳文忠依递了事，情理不得盖伸，夢中分鹿可回。
HVH_010_0080_000010	思初入翰林，筮仕前程，得益之中孚及富安出使之日，筮得憂患之行，莫之爲而為五十一。
HVH_010_0080_000011	已己之年在平定，對訟甫理者，文学可从何榷？
HVH_010_0080_000012	命途偶有此小青。
HVH_010_0080_000013	丙午五月日，免知間，憲祖章皇帝浴及何内閣人才謂富泉。
HVH_010_0080_000014	阮文家人之離，似北聖賢已先得我心矣。
HVH_010_0080_000015	塞翁得失祸福。
HVH_010_0080_000016	安婦田通修文規。
HVH_010_0080_000017	六月郎，有旨起復翰林典簿，俾之編摩，日久不遑。
HVH_010_0080_000018	是年八月，庶室潘氏男復生於史館之東廊。
HVH_010_0080_000019	是年五月日，奉聖上御禁菀，閣臣武公范啟侍立語謂阮文理長於詩，将令克閣行走，以備幾服應制。
HVH_010_0080_000020	范公對謂"此人诗才臣誠不及。
HVH_010_0080_000021	七月，奉御山寺禅鐘詩七律句，每句藏七政。
HVH_010_0080_000022	日月。
HVH_010_0080_000023	金木。
HVH_010_0080_000024	水火。
HVH_010_0080_000025	土。
HVH_010_0080_000026	奉殊批推八應制此格創見難工，草上自覺枯漩。
HVH_010_0080_000027	嗣奉臨朝再三温存諭謂"文理文學優長。
HVH_010_0080_000028	應制詩被格，馆乡得八。
HVH_010_0080_000029	九月，河寧總督材公維義奏言"常州司驛之缺，甫有学行，宜資
