HVH_010_0082_000001	名醫與之請論，取其精於其技者，要之醫書。
HVH_010_0082_000002	景岳為長，以陽良根本為愛，重主神氣，举業文章。
HVH_010_0082_000003	初亦從俗務取科第。
HVH_010_0082_000004	及後八朝官翰林，遇有酬應諸文字，借取，問自家子弟，将公之梨棗費廣不果。
HVH_010_0082_000005	陽云"吾成進士，方始学為古文，乃知古文之與時文自有異。
HVH_010_0082_000006	爲士為學，不官書如宋四六者，類得他制作之法，已集成四。
HVH_010_0082_000007	六諸體以示。
HVH_010_0082_000008	82及門弟各以詩文來者。
HVH_010_0082_000009	其辰二月，吳氏生男珠甫感可不知。
HVH_010_0082_000010	甲子年三月，登七十壽，於典安學堂為酒，自爵南自起復學使。
HVH_010_0082_000011	自庚申至癸亥，已經五年，矢僚朋親属冒現需藥餌病中，接吏部洛奉，有殊批"來京候旨。
HVH_010_0082_000012	君言三至五月，病初愈，起身就道業，思程夫子之言，一來以答主知。
HVH_010_0082_000013	六月二十日，至京，寓史館，由吏部寄奏，奉有中使督促者數輩，催入閱是堂，應候太監出問"何爲累催不來。
HVH_010_0082_000014	又今年發而病重，聽者對謂緣音書一饼，透呈太監交出龍创一勅，令覆奏。
HVH_010_0082_000015	殊批"阮文診脉調治，給藥八，候侍衔拱飯一次，待又勅有何被。
HVH_010_0082_000016	今年老，見七十，嗣，奉勅賜錢十貫，以資支度。
HVH_010_0082_000017	太醫理精於著筮多有驗，予得於從善。
HVH_010_0082_000018	公言也，果有如此，何日雨以驗等因欽此。
HVH_010_0082_000019	是月覆揣臣於易之筮法，初無，或無通何占法據，寔覆匆隐，並回占本月下旬何日晴。
HVH_010_0082_000020	師傳讀書之日，於朱子筮儀紙上得之。
HVH_010_0082_000021	年前從善公病，臣業為之筮易得明夷，據卦辞斷之，當得無恙。
HVH_010_0082_000022	後偶獲驗。
HVH_010_0082_000023	臣見今年庚乙卯，七十歲，本年二月，在學偶楼电。
