HVH_010_0085_000001	爲上而不及之卦。
HVH_010_0085_000002	臣向來占筮於本卦爻辞與事不相應，爻動則占本卦爻辞，二，爻動則以本卦二爻辞占，仍以上交。
HVH_010_0085_000003	-。
HVH_010_0085_000004	再将之卦推測，亦多取驗，但亦自家管见，與朱說微有不同，致敢骨渎於高明之前，非敢有所隐也。
HVH_010_0085_000005	臣今哀老，猶顾献其餘忠，條陳一三，然後请休，區區道之微，敢自爱乎！
HVH_010_0085_000006	謹覆。
HVH_010_0085_000007	七月初十日，專摺陳。
HVH_010_0085_000008	一言"典安協管武力，情願討賊，為父復警，請發交海陽軍次量行補。
HVH_010_0085_000009	二言"海陽之地面要害處，設屯三為居守，用扼海匪出八之路。
HVH_010_0085_000010	此不戦而自。
HVH_010_0085_000011	85屈人兵三言南定之四大海口浮沙寔乃肥饒之地，宜及期闸整，下度成田。
HVH_010_0085_000012	其於益國强兵，計莫大於此。
HVH_010_0085_000013	初十日，摺上留中傳吏部，轉咨兵部給繹，準其返回，原蒞侍支出官錢二学，阮文理應候在閱是堂，交出批示，各疑询問事情，兹著十贯颁給，俾资路费。
HVH_010_0085_000014	欽此。
HVH_010_0085_000015	侍衞交錢，言謂去夜二更始奉勅出，蓋重先生之去也於其婦也。
HVH_010_0085_000016	上公山送之以詩，又遣其貧，聊以将情焉耳。
HVH_010_0085_000017	國之上卿皆来親送。
HVH_010_0085_000018	二十三日，出都門子，郡君親至央馆寓所，拜送，贈黄金錢二十。
HVH_010_0085_000019	且日吾甚。
HVH_010_0085_000020	甲子科鄉試，門弟多有登榜，聞南定士子執以良之路，回至横山，遇秋雨。
HVH_010_0085_000021	八月中，见抵興安之学堂，照收试卷，見指斥主司魏克擅此人，使西做成和局，何堪！
HVH_010_0085_000022	文章司命張帖禁退，士人不得八试。
HVH_010_0085_000023	魏主司即将事状大八報奉殊批"祭酒司业與諸省督学教訓，各革留一次，以责後善。
HVH_010_0085_000024	甫因念"典安一辖，士子，尚有操守，不比南定狂校，何可！
