HVH_010_0089_000001	男秀才芳溪公傳通活，惟不肯下工夫，吾與之請磨日進，亦常從事。
HVH_010_0089_000002	弘道進溪西朝景盛丁已，年三月初十日丑牌生，性和易，純粹自然。
HVH_010_0089_000003	文士黎先生，年三十，結配寧平安謨人，同知府武公耀之女三五。
HVH_010_0089_000004	明命十二年辛卯，科中秀才。
HVH_010_0089_000005	然中者二科，猶屈於鄉范譜考知府文公如琦批擬平項外場閱，降為次項場屋人至中如黄甲。
HVH_010_0089_000006	范公士爱進士剧公揆者，有一科策文中庸覆。
HVH_010_0089_000007	89之，惜焉。
HVH_010_0089_000008	年三十四。
HVH_010_0089_000009	庚寅生女淑，三十九，乙未生女柔，得男猶晚，此不然。
HVH_010_0089_000010	是科登舉人榜，失吾在京於禮部堂见遞卷，深為熟而卒，壽四十七歲。
HVH_010_0089_000011	嗟乎！
HVH_010_0089_000012	芳溪，吾家賢明，何所遇之！
HVH_010_0089_000013	啬四十七。
HVH_010_0089_000014	壬寅，生男迪，以是冬場事畢，十一月初七日，病單，察使言聞心熟如火，不能坐卧者五日，痛惜之極於官舍。
HVH_010_0089_000015	若是剥晋碩菓仁者，其有後乎！
HVH_010_0089_000016	第三行，兄理為富安按成服奠祭，有詩哭云"美锦裹成俏不售，掌珠在，拒迎相移，梦魂千里身相接，心血終天淚暗垂。
HVH_010_0089_000017	将棄官歸，以事不果，其人之可惜至此。
HVH_010_0089_000018	初，本村地分族住，訓導茂松為之卜地，後以家宅不安，改塑芳烈堰衛之原菊軒志亭。
HVH_010_0089_000019	兴清人李君意相商焉，亦不吉。
HVH_010_0089_000020	嗣德甲子年三月日，改蓝青池青烈之原大水星实金乘檀。
HVH_010_0089_000021	是局。
HVH_010_0089_000022	北朝風水先生黄君善文同知府。
HVH_010_0089_000023	公女生女二：淑柔男一修譜日，公男女已長成，兴吾志亭相焉。
HVH_010_0089_000024	後扦座。
HVH_010_0089_000025	香溪舉人阮再分金公元配武氏女線女淑男换女幸女意。
