HVH_010_0090_000001	色。
HVH_010_0090_000002	丁卯年生，嫁青池苓塘人。
HVH_010_0090_000003	进士按察黄姓名專。
HVH_010_0090_000004	生女。
HVH_010_0090_000005	男已已年，生。
HVH_010_0090_000006	癸未年六月十八日溺死于珥河，祭終。
HVH_010_0090_000007	兄弟之子之身，禮以義起，忌當不廢。
HVH_010_0090_000008	按禮有殤祭，自十二至十四爲中湯，十五至十九爲長殤。
HVH_010_0090_000009	男殤，壬申年，生，已亥年正月二十六日卒，享年二十八歲。
HVH_010_0090_000010	go男第八。
HVH_010_0090_000011	2諦力，字雲圃，奠雁。
HVH_010_0090_000012	辛丑年十月初一日卒，合于上殤。
HVH_010_0090_000013	甲戌年生。
HVH_010_0090_000014	性純，從三行兄之富安官舍，返謀室未。
HVH_010_0090_000015	丁丑年生。
HVH_010_0090_000016	幼失学治農，配黎氏雲。
HVH_010_0090_000017	生男男泰圭。
HVH_010_0090_000018	叁。
HVH_010_0090_000019	慶公戊寅七月二十八日病终。
HVH_010_0090_000020	馬左公房。
HVH_010_0090_000021	男長。
HVH_010_0090_000022	丙辰年生。
HVH_010_0090_000023	娶本村人阮氏坦。
HVH_010_0090_000024	男。
HVH_010_0090_000025	男直女。
HVH_010_0090_000026	陸氏季。
HVH_010_0090_000027	娶本村人鄭氏，生男政女寶女帛。
HVH_010_0090_000028	辛酉年生，嫁本村人阮姓名仁清。
HVH_010_0090_000029	生男二女，三男侃女馥。
HVH_010_0090_000030	女1。
HVH_010_0090_000031	祁公房。
