HVH_010_0098_000001	第二諱珩，乙未年生，生於部堂侧室所生，嫁金楼御火阮公居。
HVH_010_0098_000002	二女。
HVH_010_0098_000003	生母阮氏，丁酉年生，生於吏部堂，性孝顺而怯弱，顺学佛。
HVH_010_0098_000004	男疆。
HVH_010_0098_000005	女三蕴，生男一文.0。
HVH_010_0098_000006	年十八，娶東鄂侍講学士进士范公嘉之弟三女。
HVH_010_0098_000007	98女。
HVH_010_0098_000008	富嘉之弟二男，现生女三。
HVH_010_0098_000009	生母阮氏，壬寅年生，生於富安官含家。
HVH_010_0098_000010	東鄂府。
HVH_010_0098_000011	范生母阮氏，癸卯年生，生於富安官含，夢見生母阮0福，男十四，娶富川中立黎学生之女。
HVH_010_0098_000012	現生男，字文瑾，秀才啓举人。
HVH_010_0098_000013	兄成秀才第四夜，因名現生男二，理吉，女二。
HVH_010_0098_000014	生母潘氏，丙午生，生於史馆，因得革，始開復而復生。
HVH_010_0098_000015	女徽義路范潘秀才，石安知縣继室，三月十二日忌。
HVH_010_0098_000016	生母阮氏，辛亥年生，生於安和家居，嫁海陽座豪。
HVH_010_0098_000017	生母吴民，甲寅年生，生仁内家居。
HVH_010_0098_000018	性通明份，男文章，或以為天星降下，当辰仕窄者多见赏。
HVH_010_0098_000019	年十三，倒，容貌美如玉，鑄字畫天然精。
HVH_010_0098_000020	好读書礼習，偶感傷寒。
HVH_010_0098_000021	七月二十二日亥，牌卒，根，號英睿。
HVH_010_0098_000022	惜哉！
HVH_010_0098_000023	男二十三，北寧候補良才縣訓道病告金英縣氏女，年二十九，同慶内成恩科试中舉人，名在弟導，投编修，继補彰美縣訓導，答定式，年丁已。
