HVH_011_0006_0001	埃閠離奶芳菲常切眷珤諸欺補撚
HVH_011_0006_0002	閠昆牒悌率觧美珠孔雀常筌驟鬱
HVH_011_0006_0003	閉昆跬吏英雄心犧糖麥常拥呬唆
HVH_011_0006_0004	各圖唆旺固喂欺胎敏总沛淘东精
HVH_011_0006_0005	眙鶉飪猳拯齡螽蝙蟄蚌包亭舞瞀
HVH_011_0006_0006	眙駢胎馭眙義眨，螯蟄渚今買眙
HVH_011_0006_0007	犄同猫兒狂俱臨心共種秫酸萍蘢
HVH_011_0006_0008	唏鴈胎塢類栏對燒對鞭對黻渚兮
HVH_011_0006_0009	保胎
HVH_011_0006_0010	紫蘇飲
HVH_011_0006_0011	紫蘇葉三錢云
HVH_011_0006_0012	陳皮川芎白芍
HVH_011_0006_0013	陳皮當帰人参
HVH_011_0006_0014	甘草各一錢生姜
HVH_011_0006_0015	三片葱白七寸水
HVH_011_0006_0016	煎服
HVH_011_0006_0017	千金鯉魚湯
HVH_011_0006_0018	當帰白芍各二錢
HVH_011_0006_0019	茯苓三錢半白术
HVH_011_0006_0020	二錢橘紅五分鯉
HVH_011_0006_0021	魚一尾右各味作
HVH_011_0006_0022	一貼將鯉魚去鱗
HVH_011_0006_0023	腸白水煮熟去
HVH_011_0006_0024	魚用汁一盞半入
HVH_011_0006_0025	各藥又生姜片
HVH_011_0006_0026	旺唆呻市抛俐群欺胎病肺咳開防
HVH_011_0006_0027	胎或息於娘竟懵答道气胎宫甚煩
HVH_011_0006_0028	在意會畏子慰紫蘇和氣旺蓮奄煎
HVH_011_0006_0029	胎群融腦諸退胞包奇育導旦崩生
HVH_011_0006_0030	意大小極通行涇妻對夥拽經穩避
HVH_011_0006_0031	胎自融巷腦忝頭細栖辦舞尼痿躄
HVH_011_0006_0032	會胃子厘朱哈全生助厘絰簞如詞
HVH_011_0006_0033	胎它畩糝腦餘連命平旁礙自台鎮
