HVH_012_0002_0001	山茱萸分 甘草一分
HVH_012_0002_0002	濟川煎 凡病涉虛損而大便閉結不通則硝
HVH_012_0002_0003	黃攻擊等劑必不可用若勢有不得不
HVH_012_0002_0004	通者宜此主之
HVH_012_0002_0005	當歸三五錢 畢必忙 肉蓯蓉二三錢 酒洗去鹹
HVH_012_0002_0006	澤瀉一錢半 若便清者不用 升麻五分或七分或一錢
HVH_012_0002_0007	地黃醴 治男婦精血不足營衛不充等患
HVH_012_0002_0008	大懷熟八兩 沉香五錢或一兩 枸杞四兩
HVH_012_0002_0009	左歸丸 治腎水真陰不足精衰血少腰痠
HVH_012_0002_0010	腳軟形容憔悴遺泄渴衰等証
HVH_012_0002_0011	熟地八兩 酒蒸 山藥四兩 山茱萸四兩
HVH_012_0002_0012	當歸三兩 枸杞四兩 杜仲鹽水炒 菟絲子酒蒸
HVH_012_0002_0013	贊化血餘丹 此藥大補元氣最能烏鬚髮壯
HVH_012_0002_0014	形体其於培元贊育之中有不可尽述者
HVH_012_0002_0015	熟地八兩 酒蒸 枸杞四兩 當歸四兩 酒洗
HVH_012_0002_0016	鹿角膠四兩 烊化 菟絲子四兩 制 杜仲四兩 鹽水炒 巴戟四腳 酒浸去心
HVH_012_0002_0017	小茴香四兩 炒 白茯苓四兩 乳拌 肉蓯蓉四兩 酒洗去鹹
HVH_012_0002_0018	胡桃肉四兩 去皮 何首烏八兩 黑豆汁拌蒸九次如無黑豆或
HVH_012_0002_0019	以人乳拌蒸壯陽
