HVH_012_0017_0001	行滯氣開鬱結通神明藥餌主治邪大效
HVH_012_0017_0002	奇妙
HVH_012_0017_0003	生地一 麥门 白芍 石菖蒲
HVH_012_0017_0004	石斛 川丹皮各一 茯神 陳皮二
HVH_012_0017_0005	木通 知母各一半
HVH_012_0017_0006	約營煎
HVH_012_0017_0007	治血熱便血無論脾胃小
HVH_012_0017_0008	腸大腸膀胱等証皆宜用此
HVH_012_0017_0009	生地 白芍 甘草 續斷
HVH_012_0017_0010	地榆 黃芩 槐花 荊芥穗炒焦
HVH_012_0017_0011	烏梅二個
HVH_012_0017_0012	熱陣
HVH_012_0017_0013	四味回陽飲
HVH_012_0017_0014	治元陽虚脱危在頃刻者
HVH_012_0017_0015	人參
HVH_012_0017_0016	製附子二三 炙甘草一二 炮乾姜二三
HVH_012_0017_0017	六味回陽飲
HVH_012_0017_0018	治陰寒将脱等証
HVH_012_0017_0019	人參一両
HVH_012_0017_0020	製附子五 炮乾姜三 甘草二 熟地五 肉桂二
HVH_012_0017_0021	大温中湯 治傷寒亡陽無脉或畏熱
