HVH_012_0018_0001	惡寒 熟地 白朮 當歸
HVH_012_0018_0002	人參 柴胡 麻黃 乾姜 甘草
HVH_012_0018_0003	肉桂 氣虛加黃芪
HVH_012_0018_0004	人參養胃湯 治外感風寒內傷生冷
HVH_012_0018_0005	頭目昏疼飲食停痰等証
HVH_012_0018_0006	半夏 厚朴 蒼朮 人參 陳皮
HVH_012_0018_0007	藿香 草菓 茯苓 甘草 姜三片煎
HVH_012_0018_0008	理陰煎 此理中之變方也 凡脾腎中虛
HVH_012_0018_0009	等証宜剛燥之當用理中者是之類
HVH_012_0018_0010	熟地七分 當歸五分 甘草二分 乾姜二分
HVH_012_0018_0011	或加肉桂
HVH_012_0018_0012	養中煎 治中氣虛寒爲嘔爲泄者
HVH_012_0018_0013	人參三分 山藥 炒二分 白扁豆 炒三分
HVH_012_0018_0014	炙甘草一分 茯苓二分 乾姜 炒黃 如腹痛
HVH_012_0018_0015	者加熟地五分
HVH_012_0018_0016	氣滯者加陳皮一分 或砂仁五分 胃中微脹
HVH_012_0018_0017	温胃飲 治中寒嘔吐吞酸泄瀉不思飲食
HVH_012_0018_0018	及婦人腹寒嘔惡胎氣不安等証
